selection_id	bucket	role	n	mean_sys	min_sys	max_sys
global_low_sum_top_100	4x4	baseline	1	0.4919055640046574	0.4919055640046574	0.4919055640046574
global_low_sum_top_100	4x4	selected	1	0.53851668009519971	0.53851668009519971	0.53851668009519971
global_low_sum_top_100	4x6	baseline	3	0.62157947282689008	0.4890127573606835	0.75669565446894471
global_low_sum_top_100	4x6	selected	3	0.57579668916748528	0.54676626868089939	0.62036521161276448
global_low_sum_top_100	5x5	baseline	12	0.33870841867246937	0.12711621542439333	0.70423142604128208
global_low_sum_top_100	5x5	selected	12	0.56875692597401528	0.46209181936636046	0.64000753333158078
global_low_sum_top_100	5x6	baseline	24	0.40691748388463367	0.019930848470451262	0.70373810400530634
global_low_sum_top_100	5x6	selected	24	0.54111249827038954	0.40220744203322523	0.66630833166943459
global_low_sum_top_100	6x6	baseline	60	0.44588533369626687	0.030818212372678139	0.75446902382394465
global_low_sum_top_100	6x6	selected	60	0.59577980758332372	0.46721049193896685	0.70696141269859947
per_bucket_low_sum_top_10	3x3	baseline	10	0.19116505030054673	0.053759547196875833	0.49959243197611525
per_bucket_low_sum_top_10	3x3	selected	10	0.4994069837225924	0.49858078151973401	0.50054150438906497
per_bucket_low_sum_top_10	3x4	baseline	10	0.32848269533629371	0.0099338743704046328	0.59737708858243233
per_bucket_low_sum_top_10	3x4	selected	10	0.78042892045580914	0.58514783365695033	0.86692008091014938
per_bucket_low_sum_top_10	3x5	baseline	10	0.33885161991597179	0.043393322544642052	0.57506764409301236
per_bucket_low_sum_top_10	3x5	selected	10	0.72213964057568902	0.63889351792407811	0.77792718641921987
per_bucket_low_sum_top_10	3x6	baseline	10	0.41376461770730383	0.1480463353870361	0.64022030544003627
per_bucket_low_sum_top_10	3x6	selected	10	0.72667829418911078	0.67407745553479426	0.78135206646324318
per_bucket_low_sum_top_10	4x4	baseline	10	0.31407109088480345	0.053042520131468221	0.55987746476159295
per_bucket_low_sum_top_10	4x4	selected	10	0.55830548617374431	0.47002545508037574	0.64160684856171413
per_bucket_low_sum_top_10	4x5	baseline	10	0.34236801149371049	0.014011040331697942	0.70206336442441064
per_bucket_low_sum_top_10	4x5	selected	10	0.56895108136220196	0.44219674835819023	0.68525497689626524
per_bucket_low_sum_top_10	4x6	baseline	10	0.26634499085722763	0.041802347355959141	0.50477942518101271
per_bucket_low_sum_top_10	4x6	selected	10	0.56514349352556381	0.46097637942433589	0.63795253854525868
per_bucket_low_sum_top_10	5x5	baseline	10	0.46899710457190497	0.26130822306469625	0.67227652046093633
per_bucket_low_sum_top_10	5x5	selected	10	0.56774283135538073	0.46209181936636046	0.63995630191191322
per_bucket_low_sum_top_10	5x6	baseline	10	0.42617262250572396	0.047932763295134496	0.68072828419762776
per_bucket_low_sum_top_10	5x6	selected	10	0.51550590055411827	0.42319913167599327	0.60864911155787804
per_bucket_low_sum_top_10	6x6	baseline	10	0.51644737753695591	0.15451310690577605	0.80173653164358172
per_bucket_low_sum_top_10	6x6	selected	10	0.57945224146996199	0.49210374634910298	0.67356099964058214
