base_id	bucket	theta_label	theta_radians	kahler_departure	symplectic_l2_change	symplectic_max_abs_change	euclidean_max_abs_change	base_monotone	base_reverse_symmetric	base_endpoint_controlled	base_multi_directional
generator-orientation-v1/base/seed=20260714/bucket=3x3/row=0	3x3	0	0.0	0.0	9.019836130814067e-15	5.329070518200751e-15	7.105427357601002e-15	True	False	True	True
generator-orientation-v1/base/seed=20260714/bucket=3x3/row=0	3x3	pi_over_4	0.7853981633974483	0.14644660940672624	11.69757944827703	5.871811781284551	3.552713678800501e-15	True	False	True	True
generator-orientation-v1/base/seed=20260714/bucket=3x3/row=0	3x3	pi_over_2	1.5707963267948966	0.4999999999999999	23.13568866433073	12.330671266117703	8.881784197001252e-15	True	False	True	True
generator-orientation-v1/base/seed=20260714/bucket=3x3/row=0	3x3	3pi_over_4	2.356194490192345	0.8535533905932737	32.22414429685379	17.142406784207388	1.2434497875801753e-14	True	False	True	True
generator-orientation-v1/base/seed=20260714/bucket=3x3/row=0	3x3	pi	3.141592653589793	1.0	35.873642875382366	16.846611030706903	5.329070518200751e-15	True	False	True	True
generator-orientation-v1/base/seed=20260714/bucket=3x3/row=1	3x3	0	0.0	0.0	1.5382499592438523e-14	7.105427357601002e-15	1.4210854715202004e-14	True	False	True	True
generator-orientation-v1/base/seed=20260714/bucket=3x3/row=1	3x3	pi_over_4	0.7853981633974483	0.14644660940672624	27.10550745213759	13.524491640450567	5.684341886080802e-14	True	False	True	True
generator-orientation-v1/base/seed=20260714/bucket=3x3/row=1	3x3	pi_over_2	1.5707963267948966	0.4999999999999999	70.81228725841913	34.456077667510314	1.4210854715202004e-14	True	False	True	True
generator-orientation-v1/base/seed=20260714/bucket=3x3/row=1	3x3	3pi_over_4	2.356194490192345	0.8535533905932737	113.29246692448835	58.81396094613389	2.842170943040401e-14	True	False	True	True
generator-orientation-v1/base/seed=20260714/bucket=3x3/row=1	3x3	pi	3.141592653589793	1.0	130.80028697260866	68.89966954869396	1.4210854715202004e-14	True	False	True	True
generator-orientation-v1/base/seed=20260714/bucket=4x4/row=0	4x4	0	0.0	0.0	1.2598012396172839e-14	5.329070518200751e-15	1.7763568394002505e-14	False	False	False	True
generator-orientation-v1/base/seed=20260714/bucket=4x4/row=0	4x4	pi_over_4	0.7853981633974483	0.14644660940672624	25.802186415147496	10.295181385653326	3.552713678800501e-15	False	False	False	True
generator-orientation-v1/base/seed=20260714/bucket=4x4/row=0	4x4	pi_over_2	1.5707963267948966	0.4999999999999999	46.78666442614964	18.28650148808064	7.105427357601002e-15	False	False	False	True
generator-orientation-v1/base/seed=20260714/bucket=4x4/row=0	4x4	3pi_over_4	2.356194490192345	0.8535533905932737	57.38914350607671	23.331523939051067	1.0658141036401503e-14	False	False	False	True
generator-orientation-v1/base/seed=20260714/bucket=4x4/row=0	4x4	pi	3.141592653589793	1.0	57.37700054655063	20.802029465302706	1.0658141036401503e-14	False	False	False	True
generator-orientation-v1/base/seed=20260714/bucket=4x4/row=1	4x4	0	0.0	0.0	1.2247829816639384e-14	5.329070518200751e-15	5.329070518200751e-15	True	False	True	True
generator-orientation-v1/base/seed=20260714/bucket=4x4/row=1	4x4	pi_over_4	0.7853981633974483	0.14644660940672624	15.66303157485511	5.448303116312752	3.552713678800501e-15	True	False	True	True
generator-orientation-v1/base/seed=20260714/bucket=4x4/row=1	4x4	pi_over_2	1.5707963267948966	0.4999999999999999	34.946007309638254	12.092529406943404	5.329070518200751e-15	True	False	True	True
generator-orientation-v1/base/seed=20260714/bucket=4x4/row=1	4x4	3pi_over_4	2.356194490192345	0.8535533905932737	49.863407459679216	18.58618290330326	4.440892098500626e-15	True	False	True	True
generator-orientation-v1/base/seed=20260714/bucket=4x4/row=1	4x4	pi	3.141592653589793	1.0	53.019995251899	20.070946715911695	2.6645352591003757e-15	True	False	True	True
generator-orientation-v1/base/seed=20260714/bucket=4x6/row=0	4x6	0	0.0	0.0	9.828815237628385e-15	3.552713678800501e-15	5.329070518200751e-15	True	False	True	True
generator-orientation-v1/base/seed=20260714/bucket=4x6/row=0	4x6	pi_over_4	0.7853981633974483	0.14644660940672624	16.645717793309736	5.494545874454016	4.440892098500626e-15	True	False	True	True
generator-orientation-v1/base/seed=20260714/bucket=4x6/row=0	4x6	pi_over_2	1.5707963267948966	0.4999999999999999	30.281125436031825	8.015227476997083	3.552713678800501e-15	True	False	True	True
generator-orientation-v1/base/seed=20260714/bucket=4x6/row=0	4x6	3pi_over_4	2.356194490192345	0.8535533905932737	38.932694051051804	13.178358355383793	5.329070518200751e-15	True	False	True	True
generator-orientation-v1/base/seed=20260714/bucket=4x6/row=0	4x6	pi	3.141592653589793	1.0	41.854653603355715	15.462699174375391	4.440892098500626e-15	True	False	True	True
generator-orientation-v1/base/seed=20260714/bucket=4x6/row=1	4x6	0	0.0	0.0	7.998230368823246e-15	3.552713678800501e-15	3.552713678800501e-15	True	False	True	True
generator-orientation-v1/base/seed=20260714/bucket=4x6/row=1	4x6	pi_over_4	0.7853981633974483	0.14644660940672624	25.717927902021664	6.860225139612599	3.552713678800501e-15	True	False	True	True
generator-orientation-v1/base/seed=20260714/bucket=4x6/row=1	4x6	pi_over_2	1.5707963267948966	0.4999999999999999	54.36319114065384	14.351157420231441	3.552713678800501e-15	True	False	True	True
generator-orientation-v1/base/seed=20260714/bucket=4x6/row=1	4x6	3pi_over_4	2.356194490192345	0.8535533905932737	74.32330799536635	21.191825145719378	5.329070518200751e-15	True	False	True	True
generator-orientation-v1/base/seed=20260714/bucket=4x6/row=1	4x6	pi	3.141592653589793	1.0	76.62101730225274	23.080625067181565	5.329070518200751e-15	True	False	True	True
generator-orientation-v1/base/seed=20260714/bucket=6x6/row=0	6x6	0	0.0	0.0	1.1841153449245065e-14	3.4416913763379853e-15	3.552713678800501e-15	True	False	True	True
generator-orientation-v1/base/seed=20260714/bucket=6x6/row=0	6x6	pi_over_4	0.7853981633974483	0.14644660940672624	13.265070197922933	3.3445931260486663	2.6645352591003757e-15	True	False	True	True
generator-orientation-v1/base/seed=20260714/bucket=6x6/row=0	6x6	pi_over_2	1.5707963267948966	0.4999999999999999	25.569898571360206	6.608384660535183	2.6645352591003757e-15	True	False	True	True
