theta_label	bases	min_l2	mean_l2	max_l2
0	8	7.998230368823246e-15	1.4762064758589793e-14	3.918014107695683e-14
pi_over_4	8	11.69757944827703	33.91740508909045	135.44221992905207
pi_over_2	8	23.13568866433073	61.07012156335024	202.66610970021833
3pi_over_4	8	32.22414429685379	72.98016221650543	182.56523584637281
pi	8	35.873642875382366	72.58635004152583	145.65623180728778
