q	strata	n	low_ridge_n	high_sys_n_within_stratum	same_q_overlap_n	conditional_high_sys_rate	conditional_rate_wilson95_low	conditional_rate_wilson95_high	stratified_bootstrap95_low	stratified_bootstrap95_high	stratified_independence_expected_overlap	same_q_enrichment	low_ridge_sys_mean	other_sys_mean	mean_difference_low_minus_other	low_ridge_sys_median	low_ridge_sys_p90	other_sys_median	other_sys_p90
0.1	10	10240	1030	1030	637	0.6184466019417476	0.5883924351085539	0.6476205414636291	0.5970631067961165	0.6456310679611651	103.603515625	6.148440003770384	0.6110994338596714	0.3042367170733169	0.30686271678635446	0.6120195122633616	0.7405527920511887	0.2947082094388574	0.5697575837841906
0.05	10	10240	520	520	220	0.4230769230769231	0.38132981520449044	0.46595222279971565	0.3960576923076923	0.4673076923076923	26.40625	8.331360946745562	0.6267902774783567	0.31949811078518153	0.30729216669317516	0.626373424149933	0.7434915307482481	0.3144345745766778	0.591830352141082
0.02	10	10240	210	210	50	0.23809523809523808	0.1855207883191717	0.30007942874521476	0.18083333333333335	0.27630952380952384	4.306640625	11.609977324263038	0.6373982459607848	0.3287735742242219	0.3086246717365629	0.6456022708992064	0.7463809413129475	0.325098153563353	0.6082836434890606
0.01	10	10240	110	110	15	0.13636363636363635	0.08441156444990071	0.21285675213058225	0.0906818181818182	0.20909090909090908	1.181640625	12.694214876033058	0.6368964252269604	0.331825663805108	0.30507076142185247	0.6490590174037385	0.743802904692199	0.3281974708103653	0.6129776277514439
