stratum	source_count	within_source_l2	within_polar_l2	directed_polar_to_source_nearest_paired_included	directed_polar_to_source_nearest_leave_pair_out	paired_source_wins
3	24	0.870803698265	0.951760472755	0.22621986706	0.24886129064	9
4	24	0.356472133238	0.37559608897	0.125547495768	0.139562441955	9
6	24	0.291837862488	0.295950086245	0.10562667151	0.113595861958	7
