selection	fraction	group	n	spearman	R_min	R_max	sys_min	sys_max
low_R	0.02	G12	11	0.33636363636363636	12.475394166668492	12.962861195947987	0.4726728868581863	0.7350903285859643
low_R	0.02	P3x3	21	0.18961038961038962	12.206403909027228	13.612371104741614	0.4721171934533403	0.5526149960742848
low_R	0.02	P3x4	21	-0.36103896103896105	11.76521412117614	12.401386128896895	0.5071360538642906	0.7119073397957835
low_R	0.02	P3x5	21	-0.6558441558441558	11.10919623389961	11.83869382846822	0.562345798379123	0.7624210652041858
low_R	0.02	P3x6	21	0.0025974025974025974	10.769324413781826	11.517927734624553	0.581978232203539	0.8073487367323776
low_R	0.02	P4x4	21	0.34935064935064936	9.789933856974514	11.150018800177017	0.5288203755673409	0.8141002333029529
low_R	0.02	P4x5	21	0.13376623376623376	9.513616925654807	10.658004900273543	0.5318436189754883	0.7988226871046541
low_R	0.02	P4x6	21	0.3246753246753247	9.584511899485836	10.314038409075122	0.46956031871130155	0.7846907266266584
low_R	0.02	P5x5	21	0.09480519480519481	8.925917889909165	9.919310691544318	0.46840609802414873	0.7795121141447494
low_R	0.02	P5x6	21	0.22727272727272727	9.183382712781459	9.728816689410852	0.5070245156599887	0.8029255717206577
low_R	0.02	P6x6	21	0.05324675324675325	9.070259628314721	9.384510977573383	0.5299886555236156	0.8536118881702471
low_R	0.01	G05	6	0.942857142857143	13.481015904770645	14.995332038779843	0.40284678463361573	0.714410363898728
