selection	fraction	group	selected_ids_sha256
high_sys	0.2	P4x6	a87f57e39ab94cbbd039b64fef188e7ce767ee9dd4db221a068fced7fb8822d5
high_sys	0.2	P5x5	20061730017c9a1e85af014f26a52b46bfd76fe9c4a5d75ef4b2249e4baa901e
high_sys	0.2	P5x6	6de63f6938aec46b08c09c39aaed2cdab1a74fc73fa7a1b072e3f09ea4b1c44e
high_sys	0.2	P6x6	bee34fce0d2306dda9295bb2b8a5dda9ee7fdae059ebbae53883b10fd80ba060
high_sys	0.1	G05	546391d5df47ffe70c59ac45df131893d4405229b6237f6ee4c1606257931e8e
high_sys	0.1	G06	42919970f213bf1868c654d2cc586904f2f51d8b61daef7a1bfcc552d2ea3c89
high_sys	0.1	G07	14c88a124c153bbca87e3c64115dd8ccd6d1db352bbefda84bc81c413944a27d
high_sys	0.1	G08	a9c640f917074d4d7af2442ee48801cd53f8865b1dcaa747fdf80fcb8674752b
high_sys	0.1	G09	94841e81b49bf272c8fa31cd80721d2a59cdc0bedb8838a06e5ded1de4e1d39c
high_sys	0.1	G10	6ea2a37eecb2817d7384246fc9947a3332c4f22af8f0bfd9ef478f7995914b8d
high_sys	0.1	G11	fc6a47665265e45bf80d6031bd6eb05ac72662bd0ce5c3a4c35bb87d9a6187fe
high_sys	0.1	G12	f01ecdd687a6c1daf1afc686b86175844c4530ea0b7cfc139156bd3734e1a301
high_sys	0.1	P3x3	3436e71b33d01169945ee93be68ac770878c1d9c069e7cb97597143225c58d32
high_sys	0.1	P3x4	a8a86fab038de778636840a3f852ca8ba32c143e91bfcc66a0a916b2167264b0
high_sys	0.1	P3x5	a8e76f8e92011aa05d5f275e67affbd300784714923afc8aea6faf6b493343c3
high_sys	0.1	P3x6	b12d266b9b81a7156072f71481e882b8adfdd986d6df4207e222726a19f8ea52
high_sys	0.1	P4x4	7ae964d48d629e1ea0794717470e0073298ca5847d3b6f71da2ba9f8bed195ea
high_sys	0.1	P4x5	7eaeb51d70485497d35e3a4382e6208f10b7a2a9c4fbf4c51c613fd8ea1b826c
high_sys	0.1	P4x6	0047ea77f200a5cd2092131336ac9c38c29e186bd648103bb14f720685715f66
high_sys	0.1	P5x5	e5c6eddb789d139ab9ec7329323a243a75c53f934c8b9f47266dc0adb860528a
high_sys	0.1	P5x6	905a2c45804f5e8beee83eeb7003c1f1cb48dff8f9decf14901f623ffb08f64b
high_sys	0.1	P6x6	f3fc3bd8c7a6b5a1cb427f4681a65a3adf309b18f0e3174e437c2a69c5af1ffa
high_sys	0.05	G05	83fd95e9a05b460cac5b0005716cfedd27ffe8f2d1e4f44e6884d4c343782a27
high_sys	0.05	G06	a2fe060c65176dd7dc2e35147bb19949e8617370eb834a142c026f336106280b
high_sys	0.05	G07	49d9f07a87817b8f95d9073d2e35333bba67d7b1a0701685885c3f595bd34b45
high_sys	0.05	G08	c2abc117fab214d0bf532a43a750f830af8b53f2200fb56b90cead61c8e00f41
high_sys	0.05	G09	3a5a5c688b634217a9e7067a507c8f90dabddb8bc8b9139e1f22c6eeaf267faf
high_sys	0.05	G10	e4b350950e760ef50a30cc475a2687931095049cbea2de256dc0987f6d48327d
high_sys	0.05	G11	39d5761e62b571d8a7130eecc598deee593991d4b27f9c401177c29d5300c6e1
high_sys	0.05	G12	0f009c087aad8108fe8cf83485e634c84955d69caa9b6833975cb1ab74d278ba
high_sys	0.05	P3x3	9ad90f689a878e2543474a4671ecafb88dfda35b29ce3eeb8f27239dd793fdc2
high_sys	0.05	P3x4	6e6c3250aaa1a9660420baa65c6aefc2be4eccba7081c9481d4b5722c8fb783f
high_sys	0.05	P3x5	3284f0732aeae6805820fcd7b347590142156c1a6af03696c772fa4116b8a45e
high_sys	0.05	P3x6	83f90525230d6d7bc6afe121845aa6fd336cc75fd7787f655225516d60e861b7
high_sys	0.05	P4x4	38853d6ae805d21dba390ca24a2e1ff0cc12866b45e119daffe6a92e7d934302
high_sys	0.05	P4x5	712690a3ee9c577eb03dbcafe6820b3b4a25398c7cd9555cae3202ed198ef4cd
high_sys	0.05	P4x6	b3a46c639ddb98e31567d66d2c688e675266e67ed3d79e717e55b6d0add1f3fb
high_sys	0.05	P5x5	c8962efb26ea6999b6d91b624a47047a224cc15adfdf085aa7e34ddffd80ba70
high_sys	0.05	P5x6	abfee3ac1f52b5432c575ffe4c66aaa4251e99238d4cdfee7f795082edf54700
high_sys	0.05	P6x6	62fd9b9f69804b6298fc7b20b1a7733b5fff031c52d95a8420b61893e7f3bf14
high_sys	0.02	G05	2ddc4ed183b84b96f5025023507fc7171c223868a86bbb8998e0f7173505cee8
high_sys	0.02	G06	d8788d5ef675b6d61587c0bcfc035aee001658cee8c917d79bcf040655c27507
high_sys	0.02	G07	4160a60dcc0827712e1d7e86c8ad6e375677299f97f1737472ede2659bca9913
high_sys	0.02	G08	c7d858747b47571e04fdf06e4f431fc3a57088db0ddb667f639f9011195216c7
high_sys	0.02	G09	c262196357ec8f8c2dccf568567acfa737b61b3952a997cbed6728fc9591a47b
high_sys	0.02	G10	5428bf9a6f696c7c02c52afdec4197f91d3ddf469974fdb2fdf95d885c67062d
high_sys	0.02	G11	7606013de2f757cc88e931f6bb13d2628e843affb89e357cab18ed93939b124a
high_sys	0.02	G12	d73ff8cae99380c198f5842bbb9dc16ec8ba0852a53825613aece143544ba39a
high_sys	0.02	P3x3	7210fa71abc4d370bf6536e8f687488d74e939fa3267db8b82f425f49c4750db
high_sys	0.02	P3x4	b2e6f6bed3f28f1003e70e3a9d1b48b34e0e0e0e6c6dcca658a9410e613e7b1b
high_sys	0.02	P3x5	b256964c1fb311c9c53cba1e1b7a3a80d47b8a99587577ab2d07ab22dca49b4a
high_sys	0.02	P3x6	6cfd1b2223456aaeb716d07bfad0ed1284d4ce2649b92d60655354cae491a8f6
high_sys	0.02	P4x4	35c09aee20190e12d7be9e32dfe138cc1e0694f9ef15747588d51422fbdf0744
high_sys	0.02	P4x5	8a4a4dcf71420ca6b820c23e5b84e7b62d0684bf847e8fd35e5165a41cede20e
high_sys	0.02	P4x6	de4c58f1fc02d58e41b24cb3ef876fb7a02c0ebbf58eaf26a690ef19bb4e9f2d
high_sys	0.02	P5x5	5ca3b6d1280c2b259eaabc178254ffd895431730cc2691cd61f7bf2a78ba3ffa
high_sys	0.02	P5x6	ff1ba6485161e1165024f247a321507b2432298d89234d427d9435842cece304
high_sys	0.02	P6x6	9a9b5225db7cc66005901e2aa0ec3124e62a091261627164dda3baa3058b2f38
high_sys	0.01	G05	2d7acc69e20c36acee6d2f155c0fca56798b01e5083cdc727522bd579a10a28e
high_sys	0.01	G06	0a5d7e1d10c81d03ac4859b3ab3f9a36d58aa21a42e657dd52139c6f730ac6d8
high_sys	0.01	G07	55466a16cd473d9e2a82f96a52acc80216c955d063da669e6b27dc7479990c0a
high_sys	0.01	G08	f437f8ff757372c8b9af08f480902d4b8115cffbf8254d272fc832904f9b43d7
high_sys	0.01	G09	5e13f48d5b534f4d1f9bfb4c274d5cf187fd0fa1f302e3c223a0d968d65cd6a9
high_sys	0.01	G10	619294d3c62d8fd2297b39a960b8ad700707d5408daf87aada050798567993c4
high_sys	0.01	G11	d99b460711082bb7d9f4d34e54eb4b432bc8ef762b1b55523576718418b0b769
high_sys	0.01	G12	9ff21b35818c53e2eae2b9c0cd2ac7d2d83d07e05bfd9220c4fc1b3780ca431f
high_sys	0.01	P3x3	be66438938f07e77c04a93db52c1c3a092c6880afcfa741858f7056115af57f3
high_sys	0.01	P3x4	9861174f043e4e9105e22d68fb0496542f54d8f5110e9bcf69bc50caea812efd
high_sys	0.01	P3x5	b7f4b53f7b5f89450f8fd185ed48a219a133d5736bf440ae2119a8acf6f2c45f
high_sys	0.01	P3x6	7fb6ba598df00585aa2fc5d57d004570ccde9f15cf2dbcd2e2ee5d1d1d8d84c9
high_sys	0.01	P4x4	e00f124fb34552fef3fa0a829e91f75fcfc31ef0062856090d11ddfb81af2c5f
high_sys	0.01	P4x5	cbc53e8a2ca890ad4923fd6b1f0bdb3fd14eff3596a59f0d924d00d0d9edb6cc
high_sys	0.01	P4x6	fa9ebdc8c80a97927c148bf28207b95fcffb443e1f967683f68001114c095de9
high_sys	0.01	P5x5	31919120e098ea2fc99eee7fb11320e134a6611cf578c93365a7866819d00cd8
