model	task	train_rows	test_rows	tail_cutoff_from_train	train_tail_positive_rows	test_tail_positive_rows	roc_auc	average_precision	top_score_fraction	selected_rows	tail_positive_rows	tail_base_rate	top_score_tail_precision	top_score_tail_recall	top_score_tail_enrichment	top_score_max_sys	top_score_mean_sys
elastic_net_logistic_high_tail	high_tail_classification	8704	5632	0.5697652833472453	871	1074	0.8737068187147978	0.55296791481307	0.1	564	1074	0.19069602272727273	0.6046099290780141	0.31750465549348234	3.1705429428001635	0.8536118881702471	0.599176014792075
hist_gradient_boosting_high_tail	high_tail_classification	8704	5632	0.5697652833472453	871	1074	0.9359727673037687	0.7034314626146508	0.1	564	1074	0.19069602272727273	0.7411347517730497	0.3891992551210428	3.8864719944002006	0.8536118881702471	0.6333365110845092
