model	task	train_rows	test_rows	r2	mae	top_score_fraction	selected_rows	tail_positive_rows	tail_base_rate	top_score_tail_precision	top_score_tail_recall	top_score_tail_enrichment	top_score_max_sys	top_score_mean_sys
lasso_regression_alpha_1e-3	regression	8704	5632	0.6110233222992789	0.10476866676771376	0.1	564	1074	0.19069602272727273	0.5762411347517731	0.3026070763500931	3.0217784645456107	0.8536118881702471	0.5912447748041545
elastic_net_regression_alpha_1e-3_l1_0.5	regression	8704	5632	0.620742184420513	0.10287766814738514	0.1	564	1074	0.19069602272727273	0.5815602836879432	0.3054003724394786	3.049671804218339	0.8536118881702471	0.5920443974257797
hist_gradient_boosting_regression	regression	8704	5632	0.8784238138483205	0.05203365520874717	0.1	564	1074	0.19069602272727273	0.7269503546099291	0.3817504655493482	3.812089755272924	0.8536118881702471	0.6329487947363434
