source_name	group	baseline_R	balanced_R	delta_R	baseline_sys	balanced_sys	delta_sys	baseline_covariance_rho	balanced_covariance_rho
random_3x3_s3_143	3x3	15.318322783831832	13.804956795357947	-1.5133659884738844	0.5387592348695799	0.6093270707031611	0.07056783583358117	2.487048610646336	1.0000000000000002
random_3x4_s1_138	3x4	16.733720709852772	12.006213221116731	-4.727507488736041	0.27707696221687456	0.7130720879308583	0.43599512571398374	5.405450926148186	1.0000000000000007
random_3x5_s3_215	3x5	18.054257895874517	12.189866350510298	-5.864391545364219	0.24204047164251846	0.6490540970628846	0.4070136254203662	5.298305943391309	1.0000000000000004
random_3x6_s2_185	3x6	13.835703679756195	11.277953457204	-2.5577502225521958	0.47437132730057613	0.6017400015663379	0.12736867426576176	2.9419177734285444	1.0000000000000002
random_4x4_s0_9	4x4	24.667967063757686	12.700879831897723	-11.967087231859963	0.16140566502898265	0.683901627335344	0.5224959623063613	9.694772252877362	1.0
random_4x5_s1_136	4x5	15.096405772692368	10.523468405078955	-4.572937367613413	0.269468537003122	0.7046475933799757	0.4351790563768537	4.294606015006746	1.0000000000000007
random_4x6_s0_110	4x6	11.659073014190236	11.481172637383809	-0.17790037680642712	0.5848475111374913	0.6918673435161248	0.10701983237863344	2.067957224186576	1.0000000000000004
random_5x5_s2_38	5x5	14.088724815149654	10.924447778142317	-3.164277037007336	0.27112073465642916	0.7456015614655771	0.47448082680914794	3.0601234448553285	1.0000000000000002
random_5x6_s1_85	5x6	11.966083749513711	10.052177944489332	-1.9139058050243793	0.4700592922591347	0.7622247902376603	0.29216549797852565	2.553021129259563	1.0000000000000004
random_6x6_s3_80	6x6	14.888760224564347	11.277345926429014	-3.611414298135333	0.33785906570027124	0.6763567949991129	0.3384977292988417	3.0912005955542274	1.0000000000000002
random_3x3_s0_53	3x3	49.08361038078728	13.820554302648572	-35.2630560781387	0.05312965178090423	0.6176552321491208	0.5645255803682165	39.695343772243874	1.000000000000002
random_3x4_s0_37	3x4	14.081482962883891	12.022391185201904	-2.059091777681987	0.40241998132172396	0.6616799447153796	0.25925996339365565	3.1204538260228785	1.0000000000000002
random_3x5_s1_209	3x5	159.19281257351676	12.151114406559252	-147.0416981669575	0.004198217080787451	0.5156318167805276	0.5114335996997401	500.42156822007195	1.000000000000053
random_3x6_s3_118	3x6	13.665205239551204	12.229755252604376	-1.4354499869468285	0.4957878258021866	0.6269033730561271	0.13111554725394048	2.0118877550472622	1.0000000000000007
