group	arm	n	R_sys_spearman	mean_R	mean_sys	max_sys	min_R	max_R
3x3	baseline	32	-0.9941348973607038	39.21704260834373	0.2051662043366036	0.539423603251115	13.302984802340948	184.43921862107993
3x4	baseline	32	-0.9783724340175952	37.21855834478469	0.25033130176491075	0.6587932391673564	12.203411735962261	292.83793087746335
3x5	baseline	32	-0.9644428152492669	34.121458035147576	0.2043962406207704	0.6598215801990627	12.165225338434215	159.19281257351676
3x6	baseline	32	-0.9827712609970674	24.464538033306358	0.3061770711483295	0.7435801143116614	11.292445783507619	55.9245264805585
4x4	baseline	32	-0.9292521994134896	23.346758525597473	0.3378593127718488	0.7121412875370864	10.571066089854908	115.83112304451878
4x5	baseline	32	-0.9472140762463342	19.39813743058061	0.34831400231897514	0.7118577248916167	10.348691093470354	65.50951613251647
4x6	baseline	32	-0.909457478005865	16.722127465854115	0.4008560587662132	0.739082597842656	9.948967431667267	49.590829170389355
5x5	baseline	32	-0.9307184750733138	16.966393721386183	0.3826449672245741	0.733386922190555	9.772340441475368	53.47032896389333
5x6	baseline	32	-0.8123167155425219	13.00155144804318	0.5013479400334664	0.7670852749632623	9.183382712781459	28.827279802547007
6x6	baseline	32	-0.8405425219941348	12.931768877977678	0.48178553234715044	0.8309527767863076	9.07025962831472	25.656807897515762
3x3	balanced	32	1.0	13.237081679791407	0.5530989204845338	0.6600977370445142	12.029802487283112	13.855886643943238
3x4	balanced	32	-0.4013929618768328	12.591483597714806	0.6021608218306538	0.8053233913097164	11.591950348709856	13.748334510956052
3x5	balanced	32	-0.4864369501466275	12.161187879329852	0.6243629118062918	0.7892503525581206	11.21341719188869	13.61263351439118
3x6	balanced	32	-0.5010997067448679	11.732588358031265	0.6547976828927979	0.8398283952019704	10.789350876999565	13.083876771635559
4x4	balanced	32	-0.35557184750733134	12.063860080609288	0.6540761701735044	0.7747349917035125	10.413503241510366	13.480853606868864
4x5	balanced	32	-0.48057184750733134	11.390699252330514	0.6735928228142004	0.7957184847475376	10.155540003253298	12.647695543435544
4x6	balanced	32	-0.48717008797653955	11.21933445569417	0.6995006409318489	0.801760372329251	9.875195044750825	12.398929728872027
5x5	balanced	32	-0.5714809384164222	11.142699195050422	0.6896684628085773	0.8028350500513932	9.562067222783503	13.458300495697504
5x6	balanced	32	-0.10520527859237536	10.601830723523554	0.6987008437623625	0.8140669079430478	9.029732425175379	12.266363774325418
6x6	balanced	32	-0.09787390029325513	10.382701506448129	0.6868725385508947	0.8172069162603564	9.01013315904091	12.465472612476585
