acceptance_fraction	accepted	exhausted	generation_ms_per_accepted	master_seed	max_attempts_observed	population	report	requested	side_count	source_dirty	source_revision	total_generation_ms
1.0	24	0	0.0013035416666666666	20260717	6	repulsive-gap[alpha=1]	artifacts/raw/seed-20260717/core/factor-only-report.json	24	4	False	a50e1e930e21541506df6228aaed16355d830372	0.031285
1.0	24	0	0.0013633333333333334	20260717	4	repulsive-gap[alpha=1]	artifacts/raw/seed-20260717/core/factor-only-report.json	24	6	False	a50e1e930e21541506df6228aaed16355d830372	0.03272
1.0	24	0	0.002547833333333334	20260717	3	repulsive-gap[alpha=4]	artifacts/raw/seed-20260717/core/factor-only-report.json	24	3	False	a50e1e930e21541506df6228aaed16355d830372	0.06114800000000001
1.0	24	0	0.0010633749999999999	20260717	2	repulsive-gap[alpha=4]	artifacts/raw/seed-20260717/core/factor-only-report.json	24	4	False	a50e1e930e21541506df6228aaed16355d830372	0.025521
1.0	24	0	0.0013695	20260717	1	repulsive-gap[alpha=4]	artifacts/raw/seed-20260717/core/factor-only-report.json	24	6	False	a50e1e930e21541506df6228aaed16355d830372	0.032868
1.0	24	0	0.0008352500000000002	20260717	2	repulsive-gap[alpha=16]	artifacts/raw/seed-20260717/core/factor-only-report.json	24	3	False	a50e1e930e21541506df6228aaed16355d830372	0.020046000000000005
1.0	24	0	0.0009710000000000002	20260717	1	repulsive-gap[alpha=16]	artifacts/raw/seed-20260717/core/factor-only-report.json	24	4	False	a50e1e930e21541506df6228aaed16355d830372	0.023304000000000005
1.0	24	0	0.0011977083333333334	20260717	1	repulsive-gap[alpha=16]	artifacts/raw/seed-20260717/core/factor-only-report.json	24	6	False	a50e1e930e21541506df6228aaed16355d830372	0.028745000000000003
1.0	24	0	0.0007580833333333334	20260717	1	repulsive-gap[regular]	artifacts/raw/seed-20260717/core/factor-only-report.json	24	3	False	a50e1e930e21541506df6228aaed16355d830372	0.018194000000000002
1.0	24	0	0.0007615	20260717	1	repulsive-gap[regular]	artifacts/raw/seed-20260717/core/factor-only-report.json	24	4	False	a50e1e930e21541506df6228aaed16355d830372	0.018276
1.0	24	0	0.0010302916666666668	20260717	1	repulsive-gap[regular]	artifacts/raw/seed-20260717/core/factor-only-report.json	24	6	False	a50e1e930e21541506df6228aaed16355d830372	0.024727000000000002
1.0	24	0	0.001571291666666667	20260717	1	regular-mutation[steps=4,scale=0.03]	artifacts/raw/seed-20260717/core/factor-only-report.json	24	3	False	a50e1e930e21541506df6228aaed16355d830372	0.03771100000000001
1.0	24	0	0.0018408750000000003	20260717	1	regular-mutation[steps=4,scale=0.03]	artifacts/raw/seed-20260717/core/factor-only-report.json	24	4	False	a50e1e930e21541506df6228aaed16355d830372	0.044181000000000005
1.0	24	0	0.002344083333333333	20260717	1	regular-mutation[steps=4,scale=0.03]	artifacts/raw/seed-20260717/core/factor-only-report.json	24	6	False	a50e1e930e21541506df6228aaed16355d830372	0.05625799999999999
1.0	24	0	0.0009462083333333332	20260717	1	zonogon[lengths=uniform(0.5,1.5)]	artifacts/raw/seed-20260717/zonogon/factor-only-report.json	24	4	False	a50e1e930e21541506df6228aaed16355d830372	0.022708999999999997
1.0	24	0	0.0005084583333333332	20260717	1	zonogon[lengths=uniform(0.5,1.5)]	artifacts/raw/seed-20260717/zonogon/factor-only-report.json	24	6	False	a50e1e930e21541506df6228aaed16355d830372	0.012202999999999997
