definition	first_stable_n	master_seed	pairwise_l2_mean	population	relative_change	requested_n	side_count	stability_threshold	used_n
first deterministic prefix n with relative change <= 0.15; exact-zero controls stable at n=4	8	20260716	0.05739617409219579	repulsive-gap[alpha=16]	0.1400223933909026	8	4	0.15	8
first deterministic prefix n with relative change <= 0.15; exact-zero controls stable at n=4	8	20260716	0.07329137889600701	repulsive-gap[alpha=16]	0.2769384032161912	12	4	0.15	12
first deterministic prefix n with relative change <= 0.15; exact-zero controls stable at n=4	8	20260716	0.07057255575086556	repulsive-gap[alpha=16]	0.03709608396096876	24	4	0.15	24
first deterministic prefix n with relative change <= 0.15; exact-zero controls stable at n=4	NA	20260716	0.2598413803366632	repulsive-gap[alpha=4]	NA	4	4	0.15	4
first deterministic prefix n with relative change <= 0.15; exact-zero controls stable at n=4	NA	20260716	0.18384910605110347	repulsive-gap[alpha=4]	0.2924563985424509	8	4	0.15	8
first deterministic prefix n with relative change <= 0.15; exact-zero controls stable at n=4	NA	20260716	0.2692277507314368	repulsive-gap[alpha=4]	0.46439521254240484	12	4	0.15	12
first deterministic prefix n with relative change <= 0.15; exact-zero controls stable at n=4	NA	20260716	0.21039971382625974	repulsive-gap[alpha=4]	0.21850658687803648	24	4	0.15	24
first deterministic prefix n with relative change <= 0.15; exact-zero controls stable at n=4	NA	20260716	0.4559304223615716	repulsive-gap[alpha=1]	NA	4	4	0.15	4
first deterministic prefix n with relative change <= 0.15; exact-zero controls stable at n=4	NA	20260716	0.2871316351681495	repulsive-gap[alpha=1]	0.37022926945541207	8	4	0.15	8
first deterministic prefix n with relative change <= 0.15; exact-zero controls stable at n=4	12	20260716	0.2587909097809988	repulsive-gap[alpha=1]	0.09870290109466297	12	4	0.15	12
first deterministic prefix n with relative change <= 0.15; exact-zero controls stable at n=4	12	20260716	0.5847929826524787	repulsive-gap[alpha=1]	1.2597122253921456	24	4	0.15	24
first deterministic prefix n with relative change <= 0.15; exact-zero controls stable at n=4	NA	20260716	0.17504588779358518	current-baseline[delta=0.2]	NA	4	4	0.15	4
first deterministic prefix n with relative change <= 0.15; exact-zero controls stable at n=4	NA	20260716	0.4771417404704304	current-baseline[delta=0.2]	1.725809480500781	8	4	0.15	8
first deterministic prefix n with relative change <= 0.15; exact-zero controls stable at n=4	NA	20260716	0.38382694513252363	current-baseline[delta=0.2]	0.19557038804843296	12	4	0.15	12
first deterministic prefix n with relative change <= 0.15; exact-zero controls stable at n=4	24	20260716	0.40265100769299345	current-baseline[delta=0.2]	0.0490430981961687	24	4	0.15	24
first deterministic prefix n with relative change <= 0.15; exact-zero controls stable at n=4	NA	20260716	0.001462420829461052	repulsive-gap[regular]	NA	4	6	0.15	4
first deterministic prefix n with relative change <= 0.15; exact-zero controls stable at n=4	8	20260716	0.0016415614456760316	repulsive-gap[regular]	0.12249594139123314	8	6	0.15	8
first deterministic prefix n with relative change <= 0.15; exact-zero controls stable at n=4	8	20260716	0.0015548720597542574	repulsive-gap[regular]	0.05280910205957813	12	6	0.15	12
first deterministic prefix n with relative change <= 0.15; exact-zero controls stable at n=4	8	20260716	0.0014991576964176005	repulsive-gap[regular]	0.03583212071188825	24	6	0.15	24
first deterministic prefix n with relative change <= 0.15; exact-zero controls stable at n=4	NA	20260716	0.02166282499230379	regular-mutation[steps=4,scale=0.03]	NA	4	6	0.15	4
first deterministic prefix n with relative change <= 0.15; exact-zero controls stable at n=4	NA	20260716	0.018330292207286193	regular-mutation[steps=4,scale=0.03]	0.15383648190859472	8	6	0.15	8
