definition	first_stable_n	master_seed	pairwise_l2_mean	population	relative_change	requested_n	side_count	stability_threshold	used_n
first deterministic prefix n with relative change <= 0.15; exact-zero controls stable at n=4	12	20260718	0.7464607095730009	current-baseline[delta=0.2]	0.07020594460962193	12	3	0.15	12
first deterministic prefix n with relative change <= 0.15; exact-zero controls stable at n=4	12	20260718	1.7201669961728798	current-baseline[delta=0.2]	1.3044307277162246	24	3	0.15	24
first deterministic prefix n with relative change <= 0.15; exact-zero controls stable at n=4	NA	20260718	0.009342180582200989	repulsive-gap[regular]	NA	4	4	0.15	4
first deterministic prefix n with relative change <= 0.15; exact-zero controls stable at n=4	NA	20260718	0.007226269752074926	repulsive-gap[regular]	0.22649003747126892	8	4	0.15	8
first deterministic prefix n with relative change <= 0.15; exact-zero controls stable at n=4	12	20260718	0.0074344818141766	repulsive-gap[regular]	0.02881321473529112	12	4	0.15	12
first deterministic prefix n with relative change <= 0.15; exact-zero controls stable at n=4	12	20260718	0.007419500058841377	repulsive-gap[regular]	0.0020151714281760372	24	4	0.15	24
first deterministic prefix n with relative change <= 0.15; exact-zero controls stable at n=4	NA	20260718	0.021091704346811135	regular-mutation[steps=4,scale=0.03]	NA	4	4	0.15	4
first deterministic prefix n with relative change <= 0.15; exact-zero controls stable at n=4	8	20260718	0.01890109988445527	regular-mutation[steps=4,scale=0.03]	0.10386095055836789	8	4	0.15	8
first deterministic prefix n with relative change <= 0.15; exact-zero controls stable at n=4	8	20260718	0.019997190434307435	regular-mutation[steps=4,scale=0.03]	0.05799083421349551	12	4	0.15	12
first deterministic prefix n with relative change <= 0.15; exact-zero controls stable at n=4	8	20260718	0.019891834093504483	regular-mutation[steps=4,scale=0.03]	0.005268557158019661	24	4	0.15	24
first deterministic prefix n with relative change <= 0.15; exact-zero controls stable at n=4	NA	20260718	0.07392739542119021	repulsive-gap[alpha=16]	NA	4	4	0.15	4
first deterministic prefix n with relative change <= 0.15; exact-zero controls stable at n=4	8	20260718	0.07260353835394295	repulsive-gap[alpha=16]	0.0179075302153523	8	4	0.15	8
first deterministic prefix n with relative change <= 0.15; exact-zero controls stable at n=4	8	20260718	0.06521788468100943	repulsive-gap[alpha=16]	0.10172580896716614	12	4	0.15	12
first deterministic prefix n with relative change <= 0.15; exact-zero controls stable at n=4	8	20260718	0.06879638337967994	repulsive-gap[alpha=16]	0.05486989828286351	24	4	0.15	24
first deterministic prefix n with relative change <= 0.15; exact-zero controls stable at n=4	NA	20260718	0.5933335072482185	repulsive-gap[alpha=4]	NA	4	4	0.15	4
first deterministic prefix n with relative change <= 0.15; exact-zero controls stable at n=4	8	20260718	0.5085754274130921	repulsive-gap[alpha=4]	0.1428506544796706	8	4	0.15	8
first deterministic prefix n with relative change <= 0.15; exact-zero controls stable at n=4	8	20260718	0.4305754368749296	repulsive-gap[alpha=4]	0.15336956198398233	12	4	0.15	12
first deterministic prefix n with relative change <= 0.15; exact-zero controls stable at n=4	8	20260718	0.3193184937223382	repulsive-gap[alpha=4]	0.2583912913381273	24	4	0.15	24
first deterministic prefix n with relative change <= 0.15; exact-zero controls stable at n=4	NA	20260718	3.3115631352284978	repulsive-gap[alpha=1]	NA	4	4	0.15	4
first deterministic prefix n with relative change <= 0.15; exact-zero controls stable at n=4	NA	20260718	1.9591859045208289	repulsive-gap[alpha=1]	0.40838032538804514	8	4	0.15	8
first deterministic prefix n with relative change <= 0.15; exact-zero controls stable at n=4	NA	20260718	1.4078068930517438	repulsive-gap[alpha=1]	0.2814327166180483	12	4	0.15	12
first deterministic prefix n with relative change <= 0.15; exact-zero controls stable at n=4	NA	20260718	0.8922777109350812	repulsive-gap[alpha=1]	0.3661931083453747	24	4	0.15	24
first deterministic prefix n with relative change <= 0.15; exact-zero controls stable at n=4	NA	20260718	0.8057129323892814	current-baseline[delta=0.2]	NA	4	4	0.15	4
first deterministic prefix n with relative change <= 0.15; exact-zero controls stable at n=4	NA	20260718	0.5072226772668643	current-baseline[delta=0.2]	0.37046725095657407	8	4	0.15	8
first deterministic prefix n with relative change <= 0.15; exact-zero controls stable at n=4	12	20260718	0.4405420071203995	current-baseline[delta=0.2]	0.13146232046597206	12	4	0.15	12
first deterministic prefix n with relative change <= 0.15; exact-zero controls stable at n=4	12	20260718	0.45096024008550234	current-baseline[delta=0.2]	0.023648670947866206	24	4	0.15	24
first deterministic prefix n with relative change <= 0.15; exact-zero controls stable at n=4	NA	20260718	0.0015322785882796053	repulsive-gap[regular]	NA	4	6	0.15	4
first deterministic prefix n with relative change <= 0.15; exact-zero controls stable at n=4	8	20260718	0.0014102922265807824	repulsive-gap[regular]	0.07961108549835277	8	6	0.15	8
first deterministic prefix n with relative change <= 0.15; exact-zero controls stable at n=4	8	20260718	0.001541084653957071	repulsive-gap[regular]	0.092741365875207	12	6	0.15	12
first deterministic prefix n with relative change <= 0.15; exact-zero controls stable at n=4	8	20260718	0.0014958558382602264	repulsive-gap[regular]	0.029348689950749865	24	6	0.15	24
first deterministic prefix n with relative change <= 0.15; exact-zero controls stable at n=4	NA	20260718	0.019661923171569076	regular-mutation[steps=4,scale=0.03]	NA	4	6	0.15	4
first deterministic prefix n with relative change <= 0.15; exact-zero controls stable at n=4	8	20260718	0.01949233119910404	regular-mutation[steps=4,scale=0.03]	0.00862540103453684	8	6	0.15	8
first deterministic prefix n with relative change <= 0.15; exact-zero controls stable at n=4	8	20260718	0.01806324033809047	regular-mutation[steps=4,scale=0.03]	0.07331554376006386	12	6	0.15	12
first deterministic prefix n with relative change <= 0.15; exact-zero controls stable at n=4	8	20260718	0.01711750043840854	regular-mutation[steps=4,scale=0.03]	0.05235715641161137	24	6	0.15	24
first deterministic prefix n with relative change <= 0.15; exact-zero controls stable at n=4	NA	20260718	0.03186125934733026	repulsive-gap[alpha=16]	NA	4	6	0.15	4
first deterministic prefix n with relative change <= 0.15; exact-zero controls stable at n=4	8	20260718	0.03023926619729894	repulsive-gap[alpha=16]	0.050908004995955394	8	6	0.15	8
first deterministic prefix n with relative change <= 0.15; exact-zero controls stable at n=4	8	20260718	0.03237635070803917	repulsive-gap[alpha=16]	0.07067249902152452	12	6	0.15	12
first deterministic prefix n with relative change <= 0.15; exact-zero controls stable at n=4	8	20260718	0.03181888806318461	repulsive-gap[alpha=16]	0.01721820503742382	24	6	0.15	24
first deterministic prefix n with relative change <= 0.15; exact-zero controls stable at n=4	NA	20260718	0.05681889485177596	repulsive-gap[alpha=4]	NA	4	6	0.15	4
first deterministic prefix n with relative change <= 0.15; exact-zero controls stable at n=4	8	20260718	0.0544623354275553	repulsive-gap[alpha=4]	0.04147492538121765	8	6	0.15	8
first deterministic prefix n with relative change <= 0.15; exact-zero controls stable at n=4	8	20260718	0.06829318423652114	repulsive-gap[alpha=4]	0.25395254721243754	12	6	0.15	12
first deterministic prefix n with relative change <= 0.15; exact-zero controls stable at n=4	8	20260718	0.06554404147621441	repulsive-gap[alpha=4]	0.04025500920832113	24	6	0.15	24
first deterministic prefix n with relative change <= 0.15; exact-zero controls stable at n=4	NA	20260718	0.1699892244522289	repulsive-gap[alpha=1]	NA	4	6	0.15	4
first deterministic prefix n with relative change <= 0.15; exact-zero controls stable at n=4	8	20260718	0.18698397965468766	repulsive-gap[alpha=1]	0.09997548525338859	8	6	0.15	8
first deterministic prefix n with relative change <= 0.15; exact-zero controls stable at n=4	8	20260718	0.18260117339286605	repulsive-gap[alpha=1]	0.023439474707488573	12	6	0.15	12
first deterministic prefix n with relative change <= 0.15; exact-zero controls stable at n=4	8	20260718	0.21835942602468594	repulsive-gap[alpha=1]	0.19582706927565074	24	6	0.15	24
first deterministic prefix n with relative change <= 0.15; exact-zero controls stable at n=4	NA	20260718	0.19721220864122993	current-baseline[delta=0.2]	NA	4	6	0.15	4
first deterministic prefix n with relative change <= 0.15; exact-zero controls stable at n=4	NA	20260718	0.33968673563634033	current-baseline[delta=0.2]	0.7224427330171086	8	6	0.15	8
first deterministic prefix n with relative change <= 0.15; exact-zero controls stable at n=4	12	20260718	0.351310107388178	current-baseline[delta=0.2]	0.03421791472093664	12	6	0.15	12
first deterministic prefix n with relative change <= 0.15; exact-zero controls stable at n=4	12	20260718	0.2419913851652481	current-baseline[delta=0.2]	0.31117442943973944	24	6	0.15	24
