population	panel	n	effective_n	mean_sys	mean_sys_ci95	baseline_reference	baseline_mean_sys	contrast_vs_retained_baseline	high_sys_threshold	high_sys_exceedances	high_sys_exceedance_rate	high_sys_wilson95	censoring
product_5x5	generated_seed1618033_low_1pct	100	100	0.63281993533461989	[0.61650663072700707,0.64904486274371098]	retained full-target population	0.39966669501936081	0.23315324031525908	0.59494241954575178	72	0.71999999999999997	[0.62511971290078838,0.79860314788813791]	target rows are pre-target proxy-selected; no target rows outside this panel are visible
product_5x5	generated_seed271828_low_0p1pct	10	10	0.61889509741270687	[0.60129046587374657,0.63743246273354448]	retained full-target population	0.39966669501936081	0.21922840239334607	0.59494241954575178	8	0.80000000000000004	[0.49016247153664183,0.94331784854562473]	target rows are pre-target proxy-selected; no target rows outside this panel are visible
product_4x6	generated_seed1618033_low_1pct	100	100	0.63949982169827557	[0.62500934744476999,0.65375587285049175]	retained full-target population	0.36865646058897011	0.27084336110930546	0.59494241954575178	71	0.70999999999999996	[0.61461108824428878,0.78985164250877715]	target rows are pre-target proxy-selected; no target rows outside this panel are visible
product_4x6	generated_seed271828_low_0p1pct	10	10	0.60507168524002708	[0.57322743522235264,0.643600407399187]	retained full-target population	0.36865646058897011	0.23641522465105697	0.59494241954575178	5	0.5	[0.236593090512564,0.76340690948743606]	target rows are pre-target proxy-selected; no target rows outside this panel are visible
