poly_id	arm	bucket	sys	residual_sign	median_oof_residual	oof_residual_spread	ridge_seed_20260711_residual	ridge_seed_20260712_residual	hist_seed_20260711_residual	hist_seed_20260712_residual	ridge_leave_bucket_out_residual	hist_leave_bucket_out_residual	leave_bucket_out_sign_agrees
00c55ec5a124792b262e833f9c6324549caeae62a89c7678ac4a8e6d54237f09	generic_caliper	generic-F10	0.1692607689865668	negative	-0.1909172824499406	0.2944707844521835	-0.3362624482024592	-0.33297297922473756	-0.04886158567514362	-0.04179166375027571	-0.33739325392861685	-0.04934098813396304	True
00d09e7f3c886f30ab1a11712243480c61f8362185c92a685cf945dffe5740e7	generic_caliper	generic-F10	0.5327876507066105	positive	0.1398875336096714	0.07738190502800263	0.1680016230445749	0.16166598172794622	0.09061971801657226	0.11810908549139659	0.16833371749910225	0.09219307174956004	True
0178c47d9ac98eb5f4292f8795cf1c8db865712e1a4449f04fde5339ce384e41	generic_caliper	generic-F10	0.4127444421326913	negative	-0.12446585940280741	0.07982101678149334	-0.09468785999774149	-0.09855554060683075	-0.15037617819878407	-0.17450887677923482	-0.10129242966836866	-0.18198568789116448	True
01a1e96c4679ed0b9a98ccf1017961b6b8b10cd906bda71f680a6a6b6a805f8e	generic_caliper	generic-F10	0.3373402083983403	negative	-0.122115971733994	0.10096286587239506	-0.16486546127206597	-0.17171752545019708	-0.07075465957780203	-0.07936648219592202	-0.1726709689085097	-0.08154712301313027	True
029d7dd8c014898e23dc39ef134f6aa6b1b342a1de686ad7be50e91b9d17bb90	generic_caliper	generic-F10	0.40442764265696773	negative	-0.14287930881251876	0.07214714602003724	-0.16860838543722867	-0.16460361804927093	-0.12115499957576659	-0.09646123941719142	-0.1760370843272524	-0.10061311047249655	True
050793612ac4802b1a85a8ee67802ef87479759190535e92e34f1ae4979d0e64	generic_caliper	generic-F10	0.6290240676129331	positive	0.10242323454787905	0.12593709046176255	0.14896813191109537	0.14942242258472055	0.023485332122958003	0.05587833718466273	0.14503713413649882	0.03449427419021056	True
05a74f84cd9633e115bc2554364c406080878fe3c7d4afaff9ec6a1ea9dcab56	generic_caliper	generic-F10	0.09820559043649271	negative	-0.11947668467391202	0.22704097921400854	-0.24299288602651178	-0.2193466386133208	-0.019606730734503253	-0.015951906812503247	-0.2421718264855178	-0.013565600193547814	True
08f14c3698b57a98b433df9a7fb25030074f11bac15a9c36688059f0c9c0557e	generic_caliper	generic-F10	0.2479199055952789	negative	-0.11215962799893228	0.06596009128499764	-0.14238503177981085	-0.1428721758577087	-0.08193422421805371	-0.07691208457271106	-0.14558096917717903	-0.07765791816751175	True
0d9f1b01999c8bf4bb94d85145207dd781b7202840a51e1ddc47ded676917fc8	generic_caliper	generic-F10	0.5807968884612612	positive	0.14788376040014864	0.05936810431007605	0.1778390488048559	0.17693683763954893	0.11883068316074835	0.11847094449477985	0.17584595943542736	0.10726230131234987	True
0f91c62aeb72ba05f3773de423d433fc6d7d0b3a9f919fe77562d62cf1de7c86	generic_caliper	generic-F10	0.7563328070552906	positive	0.18928697467564942	0.03485895716194154	0.17802615883299744	0.17984100405777603	0.1987329452935228	0.21288511599493898	0.1687952660739398	0.18421819977483	True
