evidence_source	slice	hypothesis	control_or_bucket	classification	n_selected	selected_mean_sys	selected_max_sys	baseline_mean_sys	baseline_p95_sys	selected_above_baseline_p95	effect_size	support_detail	interpretation_boundary
retained_tail_rule_mining	ridge_symp_area_q95_over_volume_sqrt:top_10_percent_random_product	product_combinatorial_proxy	after_nonself_prepared_controls	ambiguous	1563						1.1302784353174948	precision=0.141395; recall=0.343701; base_rate=0.125097	retained-table diagnostic; every row already has sys; not generated-candidate validation
retained_tail_rule_mining	ridge_symp_area_q95_over_volume_sqrt:top_10_percent_random_product	product_combinatorial_proxy	after_other_feature_family_controls	collapses	1626						0.7521821718994796	precision=0.0940959; recall=0.237947; base_rate=0.125097	retained-table diagnostic; every row already has sys; not generated-candidate validation
retained_tail_rule_mining	ridge_symp_area_std_over_volume_sqrt:top_10_percent_random_product	low_ridge_magnitude_signal	raw_no_controls	survives	478						5.113107396973172	precision=0.548117; recall=0.475499; base_rate=0.107198	retained-table diagnostic; every row already has sys; not generated-candidate validation
retained_tail_rule_mining	ridge_symp_area_std_over_volume_sqrt:top_10_percent_random_product	product_combinatorial_proxy	after_source_facet_product_controls	collapses	1605						0.4980547763356153	precision=0.0623053; recall=0.155521; base_rate=0.125097	retained-table diagnostic; every row already has sys; not generated-candidate validation
retained_tail_rule_mining	ridge_symp_area_std_over_volume_sqrt:top_10_percent_random_product	product_combinatorial_proxy	after_source_facet_product_plus_combinatorial_controls	collapses	1605						0.4980547763356153	precision=0.0623053; recall=0.155521; base_rate=0.125097	retained-table diagnostic; every row already has sys; not generated-candidate validation
retained_tail_rule_mining	ridge_symp_area_std_over_volume_sqrt:top_10_percent_random_product	product_combinatorial_proxy	after_strongest_combinatorial_controls	collapses	1639						0.7413388848983326	precision=0.0927395; recall=0.236392; base_rate=0.125097	retained-table diagnostic; every row already has sys; not generated-candidate validation
retained_tail_rule_mining	ridge_symp_area_std_over_volume_sqrt:top_10_percent_random_product	product_combinatorial_proxy	after_nonself_prepared_controls	collapses	1641						0.7453066493044204	precision=0.0932358; recall=0.237947; base_rate=0.125097	retained-table diagnostic; every row already has sys; not generated-candidate validation
retained_tail_rule_mining	ridge_symp_area_std_over_volume_sqrt:top_10_percent_random_product	product_combinatorial_proxy	after_other_feature_family_controls	collapses	1639						0.7413388848983326	precision=0.0927395; recall=0.236392; base_rate=0.125097	retained-table diagnostic; every row already has sys; not generated-candidate validation
retained_tail_rule_mining	ridge_symp_area_sum_over_volume_sqrt:top_10_percent_random_product	low_ridge_magnitude_signal	raw_no_controls	survives	519						6.039256003273082	precision=0.647399; recall=0.6098; base_rate=0.107198	retained-table diagnostic; every row already has sys; not generated-candidate validation
retained_tail_rule_mining	ridge_symp_area_sum_over_volume_sqrt:top_10_percent_random_product	product_combinatorial_proxy	after_source_facet_product_controls	collapses	1574						0.6195940645125593	precision=0.0775095; recall=0.189736; base_rate=0.125097	retained-table diagnostic; every row already has sys; not generated-candidate validation
