feature	pooled_within_bucket_rank_rho	bucket_rho_median	bucket_rho_min	bucket_rho_max	buckets_same_sign	buckets	favorable_decile_mean_sys	other_mean_sys	favorable_decile_max_sys	tail_rate_selected	tail_rate_other
ridge sum	-0.9440234832139278	-0.9539173975042456	-0.997102339782562	-0.840943772816745	18	18	0.5883341011039676	0.2915125344224059	0.8595596058028341	0.3550420168067227	0.017121165168887512
ridge mean	-0.9427785503871772	-0.9538523089838579	-0.997102339782562	-0.8326309495199186	18	18	0.5876040133599261	0.2915933033485362	0.8595596058028341	0.35084033613445376	0.017585993182522467
ridge std	-0.9075941584844962	-0.9244181244174826	-0.9929689288141048	-0.7871478814998927	18	18	0.5733065537464193	0.29317501796955325	0.853611888170247	0.3172268907563025	0.02130461729160211
ridge q95	-0.8899133972434069	-0.9088677323242258	-0.9952813416422287	-0.7619108410521422	18	18	0.5658003109261417	0.29400542661127593	0.853611888170247	0.29971988795518206	0.023241400681747754
ridge max	-0.8863187690971684	-0.901289014447169	-0.9943104369322652	-0.7570666887204063	18	18	0.5654667732910673	0.2940423255687354	0.8595596058028341	0.3081232492997199	0.022311744654477845
top-3 share	-0.6457878174989318	-0.6673541103861826	-0.7289728316224351	-0.45929084561190187	18	18	0.48291768219311787	0.3031746545188339	0.853611888170247	0.19467787114845939	0.03486210102262163
max share	-0.5923190634048956	-0.6057563765363678	-0.7702025515433155	-0.36772827058875635	18	18	0.4752495617066086	0.3040229715357796	0.853611888170247	0.19957983193277312	0.03431980167338085
ridge q25	-0.24417688877873878	-0.2751833145612409	-0.6253622103211501	0.44075406839015346	10	18	0.31360170808062837	0.32190592280459734	0.8073487367323771	0.058823529411764705	0.049891540130151846
ridge median	0.18200459446710493	0.27247622703971874	-0.7649329874343392	0.3844135009119519	15	18	0.28372763257978256	0.3252687923964713	0.817547271002367	0.030428769017980636	0.0530643910007758
