ridge_percentile_band	n	mean_sys	q90_sys	q99_sys	max_sys	bucket_top5_rate
(-0.001, 0.01]	140	0.615452901108054	0.7392134336057306	0.7843916434001851	0.7899693224084291	0.4714285714285714
(0.01, 0.02]	140	0.6150851684339501	0.741538634658439	0.8114671496404278	0.853611888170247	0.4357142857142857
(0.02, 0.05]	430	0.5961317362687611	0.7321756785574698	0.7969876502095391	0.8309527767863081	0.3883720930232558
(0.05, 0.1]	718	0.5731603343245372	0.7207342829768485	0.8042413016810764	0.8595596058028341	0.2966573816155989
(0.1, 0.2]	1428	0.5215366814519846	0.6784729495220485	0.7774893228644858	0.838532815386205	0.11204481792717087
(0.2, 0.5]	4312	0.40677691934037546	0.5911876962206989	0.7225189102724621	0.86258589584944	0.01414656771799629
(0.5, 1.0]	7168	0.1763486798291409	0.37374571344186447	0.5541845739000169	0.6511794728736351	0.0
