	ridge sum	ridge mean	ridge max	ridge q95	ridge std	max share	top-3 share	ridge median	ridge q25
ridge sum	1.0	0.9969958808263707	0.9225883663795379	0.9368046194954291	0.9527564522977355	0.613607551075374	0.6747100877136999	-0.19842335582381035	0.2526668360625888
ridge mean	0.9969958808263707	1.0	0.9211216912385404	0.9361857341546508	0.9514173418916922	0.613386278862096	0.674532932786629	-0.19201078995305787	0.2623214810483278
ridge max	0.9225883663795379	0.9211216912385404	1.0	0.9356763573114054	0.9771160440515	0.8318745410521183	0.8354464769637712	-0.3328978557696844	0.19725901935067788
ridge q95	0.9368046194954291	0.9361857341546508	0.9356763573114054	1.0	0.9775457424286003	0.6972806206227992	0.8228151908681303	-0.3481390332566797	0.1989288737401321
ridge std	0.9527564522977355	0.9514173418916922	0.9771160440515	0.9775457424286003	1.0	0.7546771974571556	0.8335974515317766	-0.3683035613116267	0.19043313512424262
max share	0.613607551075374	0.613386278862096	0.8318745410521183	0.6972806206227992	0.7546771974571556	1.0	0.8613199660639625	-0.4157566749166821	0.04962009092469692
top-3 share	0.6747100877136999	0.674532932786629	0.8354464769637712	0.8228151908681303	0.8335974515317766	0.8613199660639625	1.0	-0.5471077619086857	0.047813459332492626
ridge median	-0.19842335582381035	-0.19201078995305787	-0.3328978557696844	-0.3481390332566797	-0.3683035613116267	-0.4157566749166821	-0.5471077619086857	1.0	0.09081754531188177
ridge q25	0.2526668360625888	0.2623214810483278	0.19725901935067788	0.1989288737401321	0.19043313512424262	0.04962009092469692	0.047813459332492626	0.09081754531188177	1.0
