label	source	leaf	test_positive_rate	test_rows	test_mean_sys	test_max_sys	train_positive_rate	train_rows	train_mean_sys	train_max_sys	rule
top_one_percent	invariant_features	20	0.0008193363375665711	4882	0.2730546959556228	0.7754897518671622	0.0	6554	0.24950611453752788	0.7458522392903429	ridge_symp_area_max_over_volume_sqrt > 1.62071 and ridge_symp_area_std_over_volume_sqrt > 0.457555
top_one_percent	invariant_features	9	0.0	18	0.5617503009347882	0.7435801143116623	0.0	467	0.5146686275940162	0.7511119939350928	ridge_symp_area_max_over_volume_sqrt <= 1.62071 and ridge_symp_area_sum_over_volume_sqrt > 11.1859 and ridge_symp_area_q25_over_volume_sqrt <= 0.0389634 and ridge_symp_area_std_over_volume_sqrt <= 0.41109
top_one_percent	invariant_features	19	0.0	16	0.6104561306324507	0.7405139041716978	0.016877637130801686	237	0.4906218016907732	0.7811353314855473	ridge_symp_area_max_over_volume_sqrt > 1.62071 and ridge_symp_area_std_over_volume_sqrt <= 0.457555 and ridge_symp_area_median_over_volume_sqrt > 0.199612
top_one_percent	invariant_features	12	0.0	13	0.5831653673475871	0.7173589963009481	0.05172413793103448	232	0.5881376374661319	0.8595596058028344	ridge_symp_area_max_over_volume_sqrt <= 1.62071 and ridge_symp_area_sum_over_volume_sqrt > 11.1859 and ridge_symp_area_q25_over_volume_sqrt > 0.0389634 and ridge_symp_area_sum_over_volume_sqrt <= 15.1971
top_one_percent	invariant_features	13	0.0	1	0.4483647844615436	0.4483647844615436	0.0	166	0.5061542890195078	0.7088794459688412	ridge_symp_area_max_over_volume_sqrt <= 1.62071 and ridge_symp_area_sum_over_volume_sqrt > 11.1859 and ridge_symp_area_q25_over_volume_sqrt > 0.0389634 and ridge_symp_area_sum_over_volume_sqrt > 15.1971
top_one_percent	invariant_features	18	0.0	1	0.6890307610529661	0.6890307610529661	0.0	335	0.500756751238678	0.7464293113561999	ridge_symp_area_max_over_volume_sqrt > 1.62071 and ridge_symp_area_std_over_volume_sqrt <= 0.457555 and ridge_symp_area_median_over_volume_sqrt <= 0.199612 and ridge_symp_area_mean_over_volume_sqrt > 0.274694
top_one_percent	invariant_features	17	0.0	0	NA	NA	0.007246376811594203	138	0.5261944248058171	0.79537205668076	ridge_symp_area_max_over_volume_sqrt > 1.62071 and ridge_symp_area_std_over_volume_sqrt <= 0.457555 and ridge_symp_area_median_over_volume_sqrt <= 0.199612 and ridge_symp_area_mean_over_volume_sqrt <= 0.274694
top_one_percent	ridge_symp_area_only	5	0.23529411764705882	17	0.66513275541552	0.797036423685961	0.06598984771573604	197	0.6082005808995248	0.86258589584944	ridge_symp_area_max_over_volume_sqrt <= 1.62071 and ridge_symp_area_sum_over_volume_sqrt <= 11.1859 and ridge_symp_area_max_over_volume_sqrt <= 1.37666 and ridge_symp_area_sum_over_volume_sqrt > 10.6859
top_one_percent	ridge_symp_area_only	4	0.13333333333333333	15	0.6698566046072542	0.7988226871046541	0.1494661921708185	562	0.6541672530327333	0.8536118881702471	ridge_symp_area_max_over_volume_sqrt <= 1.62071 and ridge_symp_area_sum_over_volume_sqrt <= 11.1859 and ridge_symp_area_max_over_volume_sqrt <= 1.37666 and ridge_symp_area_sum_over_volume_sqrt <= 10.6859
top_one_percent	ridge_symp_area_only	10	0.08620689655172414	116	0.6089637475735996	0.8381244889295797	0.007246376811594203	138	0.4667903949192731	0.7744626849308398	ridge_symp_area_max_over_volume_sqrt <= 1.62071 and ridge_symp_area_sum_over_volume_sqrt > 11.1859 and ridge_symp_area_q25_over_volume_sqrt <= 0.0389634 and ridge_symp_area_q90_over_volume_sqrt > 0.991889
top_one_percent	ridge_symp_area_only	6	0.05263157894736842	38	0.6314151461209732	0.8141002333029529	0.03684210526315789	190	0.615165229886149	0.7973980400416846	ridge_symp_area_max_over_volume_sqrt <= 1.62071 and ridge_symp_area_sum_over_volume_sqrt <= 11.1859 and ridge_symp_area_max_over_volume_sqrt > 1.37666
top_one_percent	ridge_symp_area_only	20	0.0008193363375665711	4882	0.2730546959556228	0.7754897518671622	0.0	6554	0.24950611453752788	0.7458522392903429	ridge_symp_area_max_over_volume_sqrt > 1.62071 and ridge_symp_area_std_over_volume_sqrt > 0.457555
top_one_percent	ridge_symp_area_only	9	0.0	21	0.5612811529794373	0.7172077126692284	0.0	467	0.5193493245898637	0.7511119939350928	ridge_symp_area_max_over_volume_sqrt <= 1.62071 and ridge_symp_area_sum_over_volume_sqrt > 11.1859 and ridge_symp_area_q25_over_volume_sqrt <= 0.0389634 and ridge_symp_area_q90_over_volume_sqrt <= 0.991889
top_one_percent	ridge_symp_area_only	19	0.0	16	0.6104561306324507	0.7405139041716978	0.016877637130801686	237	0.4906218016907732	0.7811353314855473	ridge_symp_area_max_over_volume_sqrt > 1.62071 and ridge_symp_area_std_over_volume_sqrt <= 0.457555 and ridge_symp_area_median_over_volume_sqrt > 0.199612
top_one_percent	ridge_symp_area_only	12	0.0	13	0.5831653673475871	0.7173589963009481	0.05172413793103448	232	0.5881376374661319	0.8595596058028344	ridge_symp_area_max_over_volume_sqrt <= 1.62071 and ridge_symp_area_sum_over_volume_sqrt > 11.1859 and ridge_symp_area_q25_over_volume_sqrt > 0.0389634 and ridge_symp_area_sum_over_volume_sqrt <= 15.1971
top_one_percent	ridge_symp_area_only	13	0.0	1	0.4483647844615436	0.4483647844615436	0.0	166	0.5061542890195078	0.7088794459688412	ridge_symp_area_max_over_volume_sqrt <= 1.62071 and ridge_symp_area_sum_over_volume_sqrt > 11.1859 and ridge_symp_area_q25_over_volume_sqrt > 0.0389634 and ridge_symp_area_sum_over_volume_sqrt > 15.1971
top_one_percent	ridge_symp_area_only	18	0.0	1	0.6890307610529661	0.6890307610529661	0.0	335	0.5033644468561518	0.7464293113561999	ridge_symp_area_max_over_volume_sqrt > 1.62071 and ridge_symp_area_std_over_volume_sqrt <= 0.457555 and ridge_symp_area_median_over_volume_sqrt <= 0.199612 and ridge_symp_area_q95_over_volume_sqrt > 1.00933
top_one_percent	ridge_symp_area_only	17	0.0	0	NA	NA	0.007246376811594203	138	0.5198641492126741	0.79537205668076	ridge_symp_area_max_over_volume_sqrt > 1.62071 and ridge_symp_area_std_over_volume_sqrt <= 0.457555 and ridge_symp_area_median_over_volume_sqrt <= 0.199612 and ridge_symp_area_q95_over_volume_sqrt <= 1.00933
top_one_percent	strata_only	5	0.00537109375	4096	0.30504762760313586	0.8381244889295797	0.01953125	3072	0.4030094882635036	0.86258589584944	product_bucket=6x6 <= 0.5 and facet_count=F7 <= 0.5 and facet_count=F6 <= 0.5 and capacity_source=random_product_sample > 0.5
top_one_percent	strata_only	4	0.0	512	0.26172535002643166	0.7448532509168573	0.005859375	2560	0.3196098105912518	0.8595596058028344	product_bucket=6x6 <= 0.5 and facet_count=F7 <= 0.5 and facet_count=F6 <= 0.5 and capacity_source=random_product_sample <= 0.5
top_one_percent	strata_only	6	0.0	512	0.18717966325273616	0.6908550887351059	0.0	1024	0.20225314677426154	0.6464199674959318	product_bucket=6x6 <= 0.5 and facet_count=F7 <= 0.5 and facet_count=F6 > 0.5
top_one_percent	strata_only	8	0.0	0	NA	NA	0.0458984375	1024	0.4773043971571597	0.8536118881702471	product_bucket=6x6 > 0.5
top_one_percent	strata_only	7	0.0	0	NA	NA	0.0	1536	0.24189925338193075	0.7458522392903429	product_bucket=6x6 <= 0.5 and facet_count=F7 > 0.5
