capacity_source	facet_count	rows	label	sys_threshold	feature	mathematical_quantity	spearman_with_sys	feature_tail_rule	target_feature_mean	rest_feature_mean	positives	selected	hits	base_rate	precision	recall	enrichment
random_product_sample	9	2048	top_decile	0.5955612006446798	ridge_symp_area_sum_over_volume_sqrt	sum over cyclically ordered primal two-faces R of 0.5 * |sum_i omega0(v_i, v_{i+1})| normalized by sqrt(volume)	-0.9678468078084131	lowest_15_percent	11.60145164484651	26.243131902551927	205	308	172	0.10009765625	0.5584415584415584	0.8390243902439024	5.578967374089325
random_sample	6	512	top_decile	0.4036306508685569	ridge_symp_area_q90_over_volume_sqrt	90th percentile cyclically ordered primal two-face symplectic area normalized by sqrt(volume)	-0.9329916364827594	lowest_15_percent	2.255882502633898	7.979407647756131	52	77	43	0.1015625	0.5584415584415584	0.8269230769230769	5.498501498501498
random_product_sample	9	2048	top_decile	0.5955612006446798	ridge_symp_area_mean_over_volume_sqrt	mean over cyclically ordered primal two-faces R of 0.5 * |sum_i omega0(v_i, v_{i+1})| normalized by sqrt(volume)	-0.9594307198322047	lowest_15_percent	0.41028002081640125	0.9428334793458004	205	308	166	0.10009765625	0.538961038961039	0.8097560975609757	5.384352233132721
random_sample	7	512	top_decile	0.4845712668241673	ridge_symp_area_sum_over_volume_sqrt	sum over cyclically ordered primal two-faces R of 0.5 * |sum_i omega0(v_i, v_{i+1})| normalized by sqrt(volume)	-0.9614289719733122	lowest_15_percent	15.202187459049059	33.30266950910435	52	77	41	0.1015625	0.5324675324675324	0.7884615384615384	5.242757242757242
random_sample	5	512	top_decile	0.35604027629944995	ridge_symp_area_q90_over_volume_sqrt	90th percentile cyclically ordered primal two-face symplectic area normalized by sqrt(volume)	-0.945654393546652	lowest_15_percent	3.121283420709095	12.00227615942408	52	77	41	0.1015625	0.5324675324675324	0.7884615384615384	5.242757242757242
random_sample	9	512	top_decile	0.5178827755320022	ridge_symp_area_sum_over_volume_sqrt	sum over cyclically ordered primal two-faces R of 0.5 * |sum_i omega0(v_i, v_{i+1})| normalized by sqrt(volume)	-0.933354004302995	lowest_15_percent	15.018072201083802	26.401025754890977	52	77	41	0.1015625	0.5324675324675324	0.7884615384615384	5.242757242757242
random_product_sample	8	2048	top_decile	0.5555716601375936	ridge_symp_area_max_over_volume_sqrt	maximum cyclically ordered primal two-face symplectic area normalized by sqrt(volume)	-0.9314586831754288	lowest_15_percent	1.9600182966062	6.597594574906173	205	308	161	0.10009765625	0.5227272727272727	0.7853658536585366	5.222172949002217
random_sample	7	512	top_decile	0.4845712668241673	ridge_symp_area_mean_over_volume_sqrt	mean over cyclically ordered primal two-faces R of 0.5 * |sum_i omega0(v_i, v_{i+1})| normalized by sqrt(volume)	-0.9596891057552557	lowest_15_percent	0.7682868554602617	1.7026132768679618	52	77	39	0.1015625	0.5064935064935064	0.75	4.987012987012987
random_sample	5	512	top_decile	0.35604027629944995	ridge_symp_area_max_over_volume_sqrt	maximum cyclically ordered primal two-face symplectic area normalized by sqrt(volume)	-0.9445183842883464	lowest_15_percent	3.7486656021357883	14.378517667541303	52	77	39	0.1015625	0.5064935064935064	0.75	4.987012987012987
random_product_sample	10	2048	top_decile	0.6358362518931353	ridge_symp_area_sum_over_volume_sqrt	sum over cyclically ordered primal two-faces R of 0.5 * |sum_i omega0(v_i, v_{i+1})| normalized by sqrt(volume)	-0.9353260760600451	lowest_15_percent	10.872410918391692	20.422802529850987	205	308	151	0.10009765625	0.4902597402597403	0.7365853658536585	4.8978143807412104
random_sample	9	512	top_decile	0.5178827755320022	ridge_symp_area_mean_over_volume_sqrt	mean over cyclically ordered primal two-faces R of 0.5 * |sum_i omega0(v_i, v_{i+1})| normalized by sqrt(volume)	-0.9260776799304197	lowest_15_percent	0.4944222479722043	0.8655920312150744	52	77	38	0.1015625	0.4935064935064935	0.7307692307692307	4.859140859140859
random_product_sample	9	2048	top_decile	0.5955612006446798	ridge_symp_area_max_over_volume_sqrt	maximum cyclically ordered primal two-face symplectic area normalized by sqrt(volume)	-0.9050627073236306	lowest_15_percent	1.6661980888752408	5.047218737439208	205	308	149	0.10009765625	0.4837662337662338	0.7268292682926829	4.832942667089009
random_product_sample	10	2048	top_decile	0.6358362518931353	ridge_symp_area_mean_over_volume_sqrt	mean over cyclically ordered primal two-faces R of 0.5 * |sum_i omega0(v_i, v_{i+1})| normalized by sqrt(volume)	-0.9328361780439147	lowest_15_percent	0.31457310887739426	0.592741613983088	205	308	147	0.10009765625	0.4772727272727273	0.7170731707317073	4.7680709534368075
