selection	fraction	group	n	observed	simulated_mean	simulated_median	pointwise_lower_025	pointwise_upper_975	observed_above_envelope	observed_below_envelope
high_sys	0.5	G07	256	-0.8080102712291141	-0.8831259913595788	-0.884272359235523	-0.911331325818265	-0.8483033875028612	True	False
high_sys	0.2	G07	103	-0.44506435882792256	-0.809356411720775	-0.8134966832139876	-0.8779796160435795	-0.7154376070816676	True	False
high_sys	0.1	G07	52	-0.38453000939127463	-0.7587241526509008	-0.7662853239989755	-0.874336207632545	-0.6129428839750705	True	False
high_sys	0.05	G07	26	-0.40239316239316236	-0.7134352136752136	-0.7305982905982906	-0.8878632478632479	-0.46846153846153865	True	False
high_sys	0.02	G07	11	0.6818181818181819	-0.6523090909090908	-0.7	-0.9363636363636364	-0.14545454545454545	True	False
high_sys	0.01	G07	6	-0.028571428571428574	-0.5964571428571428	-0.6571428571428571	-1.0	0.2	False	False
low_R	1.0	G07	512	-0.9614289719733122	-0.9607004548507397	-0.9610141667668028	-0.9680929345159417	-0.951648543358253	False	False
low_R	0.5	G07	256	-0.8070532444495307	-0.8835945861467155	-0.8842623455024032	-0.9113905677786679	-0.8488192378118563	True	False
low_R	0.2	G07	103	-0.38177085621403156	-0.8078836269384528	-0.8117119887536792	-0.8772240038659227	-0.7221365263805298	True	False
low_R	0.1	G07	52	-0.12353794928711687	-0.7599864253393666	-0.7669683257918551	-0.8749274310595064	-0.5978506787330317	True	False
low_R	0.05	G07	26	0.02974358974358974	-0.7150085470085471	-0.7292307692307692	-0.8858290598290599	-0.4556752136752137	True	False
low_R	0.02	G07	11	-0.13636363636363638	-0.6437272727272727	-0.6909090909090909	-0.9363636363636364	-0.11818181818181818	False	False
low_R	0.01	G07	6	-0.3142857142857143	-0.5971428571428571	-0.6571428571428571	-1.0	0.14285714285714285	False	False
high_sys	1.0	G08	512	-0.9489128428949085	-0.9481606594790344	-0.9484764011198086	-0.9580122672191322	-0.9369079604512137	False	False
high_sys	0.5	G08	256	-0.7424145971618218	-0.854142947470817	-0.8551048580910964	-0.8874933122568093	-0.8115202277409018	True	False
high_sys	0.2	G08	103	-0.3933137108465492	-0.7659983306242586	-0.7713888766858499	-0.8492413675701797	-0.6618671198875368	True	False
high_sys	0.1	G08	52	-0.346538034662341	-0.714585417911722	-0.7222317083582345	-0.8476329719115512	-0.5282079740459319	True	False
high_sys	0.05	G08	26	-0.23145299145299145	-0.6691357264957264	-0.6827350427350427	-0.8578119658119658	-0.40707692307692317	True	False
high_sys	0.02	G08	11	0.43636363636363645	-0.6023363636363636	-0.6545454545454545	-0.9181818181818182	-0.00909090909090909	True	False
high_sys	0.01	G08	6	0.942857142857143	-0.5417714285714285	-0.6	-1.0	0.3157142857142844	True	False
low_R	1.0	G08	512	-0.9489128428949085	-0.9481606594790344	-0.9484764011198086	-0.9580122672191322	-0.9369079604512137	False	False
low_R	0.5	G08	256	-0.7476553559166856	-0.8540105852311742	-0.8552772373540856	-0.8893456204222934	-0.8124699051556421	True	False
low_R	0.2	G08	103	-0.2452993893599262	-0.7670440737161182	-0.7686377015331898	-0.843502888459342	-0.6667566335720249	True	False
low_R	0.1	G08	52	-0.10338939639716554	-0.7156927345684283	-0.7248356526935884	-0.8386685733800051	-0.5351980705199351	True	False
low_R	0.05	G08	26	-0.17811965811965808	-0.6662242735042736	-0.6888888888888889	-0.8598290598290599	-0.3825299145299146	True	False
low_R	0.02	G08	11	-0.5727272727272729	-0.6121545454545453	-0.6454545454545455	-0.9093181818181818	-0.12704545454545474	False	False
low_R	0.01	G08	6	-0.2571428571428572	-0.5562857142857144	-0.6	-1.0	0.2571428571428571	False	False
high_sys	1.0	G09	512	-0.933354004302995	-0.9324336393030236	-0.9324883627447614	-0.9443062408625731	-0.917767393565964	False	False
high_sys	0.5	G09	256	-0.6785734721904325	-0.8199294246395057	-0.8210495822842756	-0.8640868548294804	-0.7681892488269627	True	False
high_sys	0.2	G09	103	-0.439243509203532	-0.7242250252602908	-0.7300937925580986	-0.8140639414839872	-0.6086112880551773	True	False
high_sys	0.1	G09	52	-0.5478528131136343	-0.6749227354221805	-0.6811662255613421	-0.8125245453769316	-0.4926918808161873	False	False
