left_overlap_fraction	left_to_right_nearest_mean	n_left	n_right	overlap_definition	population_left	population_right	right_overlap_fraction	right_to_left_nearest_mean	sample_status	side_count
1.0	0.11006855464502252	24	24	directed nearest cross-population distance <= source within-population pairwise median	current-baseline[delta=0.2]	zonogon[lengths=uniform(0.5,1.5)]	0.9583333333333334	0.6729122288494759	descriptive	4
0.4166666666666667	0.09774034120407525	24	24	directed nearest cross-population distance <= source within-population pairwise median	primal-hull-uniform-disk[points=n+4,origin=interior]	regular-mutation[steps=4,scale=0.03]	0.0	0.03500539300154378	descriptive	4
0.9583333333333334	0.048702265229899955	24	24	directed nearest cross-population distance <= source within-population pairwise median	primal-hull-uniform-disk[points=n+4,origin=interior]	repulsive-gap[alpha=16]	1.0	0.03770782362541944	descriptive	4
1.0	0.05939620400198786	24	24	directed nearest cross-population distance <= source within-population pairwise median	primal-hull-uniform-disk[points=n+4,origin=interior]	repulsive-gap[alpha=1]	0.5833333333333334	0.38947298987616713	descriptive	4
1.0	0.05029722248970984	24	24	directed nearest cross-population distance <= source within-population pairwise median	primal-hull-uniform-disk[points=n+4,origin=interior]	repulsive-gap[alpha=4]	0.75	0.12568681524796857	descriptive	4
0.20833333333333334	0.12080821866108697	24	24	directed nearest cross-population distance <= source within-population pairwise median	primal-hull-uniform-disk[points=n+4,origin=interior]	repulsive-gap[regular]	0.0	0.04599693587213055	descriptive	4
0.6666666666666666	0.0889426854514737	24	24	directed nearest cross-population distance <= source within-population pairwise median	primal-hull-uniform-disk[points=n+4,origin=interior]	zonogon[lengths=uniform(0.5,1.5)]	0.6666666666666666	1.1446566127067757	descriptive	4
0.75	0.015511125827621578	24	24	directed nearest cross-population distance <= source within-population pairwise median	regular-mutation[steps=4,scale=0.03]	repulsive-gap[alpha=16]	0.75	0.06264635099889448	descriptive	4
0.0	0.0411278495093747	24	24	directed nearest cross-population distance <= source within-population pairwise median	regular-mutation[steps=4,scale=0.03]	repulsive-gap[alpha=1]	0.5416666666666666	0.49248069023060026	descriptive	4
0.041666666666666664	0.03607948178109665	24	24	directed nearest cross-population distance <= source within-population pairwise median	regular-mutation[steps=4,scale=0.03]	repulsive-gap[alpha=4]	0.5	0.20756632246592208	descriptive	4
0.25	0.02276757444670684	24	24	directed nearest cross-population distance <= source within-population pairwise median	regular-mutation[steps=4,scale=0.03]	repulsive-gap[regular]	0.0	0.011382187835964555	descriptive	4
0.0	0.06007244597893352	24	24	directed nearest cross-population distance <= source within-population pairwise median	regular-mutation[steps=4,scale=0.03]	zonogon[lengths=uniform(0.5,1.5)]	0.625	1.2215524135132234	descriptive	4
0.875	0.050497798999001864	24	24	directed nearest cross-population distance <= source within-population pairwise median	repulsive-gap[alpha=16]	repulsive-gap[alpha=1]	0.5833333333333334	0.3963609124029466	descriptive	4
1.0	0.038305599170419556	24	24	directed nearest cross-population distance <= source within-population pairwise median	repulsive-gap[alpha=16]	repulsive-gap[alpha=4]	0.75	0.12313884821780956	descriptive	4
0.4166666666666667	0.09019621144017576	24	24	directed nearest cross-population distance <= source within-population pairwise median	repulsive-gap[alpha=16]	repulsive-gap[regular]	0.0	0.0229580245332851	descriptive	4
0.75	0.06881626584096939	24	24	directed nearest cross-population distance <= source within-population pairwise median	repulsive-gap[alpha=16]	zonogon[lengths=uniform(0.5,1.5)]	0.6666666666666666	1.1453357307581582	descriptive	4
0.875	0.19447383315028602	24	24	directed nearest cross-population distance <= source within-population pairwise median	repulsive-gap[alpha=1]	repulsive-gap[alpha=4]	1.0	0.06258770409642679	descriptive	4
0.5416666666666666	0.5183907571437473	24	24	directed nearest cross-population distance <= source within-population pairwise median	repulsive-gap[alpha=1]	repulsive-gap[regular]	0.0	0.048506029013090375	descriptive	4
1.0	0.11984281876748609	24	24	directed nearest cross-population distance <= source within-population pairwise median	repulsive-gap[alpha=1]	zonogon[lengths=uniform(0.5,1.5)]	0.9166666666666666	0.7298888888196737	descriptive	4
0.3333333333333333	0.2377994688247174	24	24	directed nearest cross-population distance <= source within-population pairwise median	repulsive-gap[alpha=4]	repulsive-gap[regular]	0.0	0.05110298503472971	descriptive	4
1.0	0.09375669542294085	24	24	directed nearest cross-population distance <= source within-population pairwise median	repulsive-gap[alpha=4]	zonogon[lengths=uniform(0.5,1.5)]	0.7916666666666666	0.9460157813668305	descriptive	4
0.0	0.06746611693280073	24	24	directed nearest cross-population distance <= source within-population pairwise median	repulsive-gap[regular]	zonogon[lengths=uniform(0.5,1.5)]	0.5833333333333334	1.253519467028589	descriptive	4
0.7916666666666666	0.1090123319979784	24	24	directed nearest cross-population distance <= source within-population pairwise median	current-baseline[delta=0.2]	primal-hull-uniform-disk[points=n+4,origin=interior]	1.0	0.045647156206362116	descriptive	6
0.4583333333333333	0.17940031508968782	24	24	directed nearest cross-population distance <= source within-population pairwise median	current-baseline[delta=0.2]	regular-mutation[steps=4,scale=0.03]	0.0	0.04996337469921772	descriptive	6
0.625	0.15834251035916644	24	24	directed nearest cross-population distance <= source within-population pairwise median	current-baseline[delta=0.2]	repulsive-gap[alpha=16]	0.125	0.04054401498403266	descriptive	6
0.9166666666666666	0.05514456175453606	24	24	directed nearest cross-population distance <= source within-population pairwise median	current-baseline[delta=0.2]	repulsive-gap[alpha=1]	0.875	0.22602493430664036	descriptive	6
0.8333333333333334	0.09167343358301883	24	24	directed nearest cross-population distance <= source within-population pairwise median	current-baseline[delta=0.2]	repulsive-gap[alpha=4]	1.0	0.03674328649761328	descriptive	6
0.4166666666666667	0.19365663559165544	24	24	directed nearest cross-population distance <= source within-population pairwise median	current-baseline[delta=0.2]	repulsive-gap[regular]	0.0	0.05709102359134439	descriptive	6
