feature	left_q05	left_q95	population_left	population_right	q05_q95_interval_overlap	right_q05	right_q95	side_count
log_perimeter	1.5504583650111208	3.1838775535631942	current-baseline[delta=0.2]	primal-hull-uniform-disk[points=n+4,origin=interior]	0.03416511452687407	1.5238135060488365	1.607174643316395	3
covariance_anisotropy	2.3214760418997287	5530.071612721536	current-baseline[delta=0.2]	primal-hull-uniform-disk[points=n+4,origin=interior]	0.0003333387959413036	1.4629082758772707	4.164375810670255	3
radial_rms	0.9187754669199264	5.4498983779745656	current-baseline[delta=0.2]	primal-hull-uniform-disk[points=n+4,origin=interior]	0.016833160280930674	0.8860103978823564	0.9956001247930315	3
angle_gap_cv	0.12859267523394285	0.6636921899558098	current-baseline[delta=0.2]	primal-hull-uniform-disk[points=n+4,origin=interior]	0.11798296792051555	0.056162359005115084	0.2002708477897549	3
log_perimeter	1.5504583650111208	3.1838775535631942	current-baseline[delta=0.2]	regular-mutation[steps=4,scale=0.03]	0.0	1.5172159755668866	1.5290449056326978	3
covariance_anisotropy	2.3214760418997287	5530.071612721536	current-baseline[delta=0.2]	regular-mutation[steps=4,scale=0.03]	0.0	1.0489170139371042	1.6598169501071023	3
radial_rms	0.9187754669199264	5.4498983779745656	current-baseline[delta=0.2]	regular-mutation[steps=4,scale=0.03]	0.0	0.8775215329672241	0.8926198298853005	3
angle_gap_cv	0.12859267523394285	0.6636921899558098	current-baseline[delta=0.2]	regular-mutation[steps=4,scale=0.03]	0.0	0.007008689890833199	0.07426761909614085	3
log_perimeter	1.5504583650111208	3.1838775535631942	current-baseline[delta=0.2]	repulsive-gap[alpha=16]	0.3031407121824491	1.5263708320573381	2.0529161330156023	3
covariance_anisotropy	2.3214760418997287	5530.071612721536	current-baseline[delta=0.2]	repulsive-gap[alpha=16]	0.01049000777253711	1.5673908056662402	60.31552830030144	3
radial_rms	0.9187754669199264	5.4498983779745656	current-baseline[delta=0.2]	repulsive-gap[alpha=16]	0.19248157619745834	0.8894672260265016	1.7965744431868804	3
angle_gap_cv	0.12859267523394285	0.6636921899558098	current-baseline[delta=0.2]	repulsive-gap[alpha=16]	0.2907216730183179	0.061998177992691264	0.3035181650369645	3
log_perimeter	1.5504583650111208	3.1838775535631942	current-baseline[delta=0.2]	repulsive-gap[alpha=1]	0.7573803001399345	1.5327711065982914	3.6894408645128833	3
covariance_anisotropy	2.3214760418997287	5530.071612721536	current-baseline[delta=0.2]	repulsive-gap[alpha=1]	0.08622433669205194	1.767724971456539	64110.69971272171	3
radial_rms	0.9187754669199264	5.4498983779745656	current-baseline[delta=0.2]	repulsive-gap[alpha=1]	0.49039186747924285	0.897140293650981	10.136940566738568	3
angle_gap_cv	0.12859267523394285	0.6636921899558098	current-baseline[delta=0.2]	repulsive-gap[alpha=1]	0.6935923355559699	0.08155583502327228	0.5323579892636406	3
