effective_covariance_rank	eigenvalue_1	eigenvalue_2	eigenvalue_3	eigenvalue_4	feature	mean	n	population	q05	q95	side_count	std
1.0000001983545432	7662133.8363457555	0.7496349949914886	0.009682852180340358	0.0005916802965789506	log_perimeter	1.992902454863004	24	current-baseline[delta=0.2]	1.5504583650111208	3.1838775535631942	3	0.5708960262636552
1.0000001983545432	7662133.8363457555	0.7496349949914886	0.009682852180340358	0.0005916802965789506	covariance_anisotropy	934.0302292078195	24	current-baseline[delta=0.2]	2.3214760418997287	5530.071612721536	3	2768.0555590284534
1.0000001983545432	7662133.8363457555	0.7496349949914886	0.009682852180340358	0.0005916802965789506	radial_rms	1.930302189373703	24	current-baseline[delta=0.2]	0.9187754669199264	5.4498983779745656	3	1.6301440369835007
1.0000001983545432	7662133.8363457555	0.7496349949914886	0.009682852180340358	0.0005916802965789506	angle_gap_cv	0.3225670750609546	24	current-baseline[delta=0.2]	0.12859267523394285	0.6636921899558098	3	0.1873368750638293
1.0003726150132286	0.9765667931212864	0.00017995837920506785	1.2240036134120893e-06	7.589812600965245e-07	log_perimeter	1.5595802379590833	16	primal-hull-uniform-disk[points=n+4,origin=interior]	1.5238135060488365	1.607174643316395	3	0.03114726645765489
1.0003726150132286	0.9765667931212864	0.00017995837920506785	1.2240036134120893e-06	7.589812600965245e-07	covariance_anisotropy	2.616531243358935	16	primal-hull-uniform-disk[points=n+4,origin=interior]	1.4629082758772707	4.164375810670255	3	0.9855307500456862
1.0003726150132286	0.9765667931212864	0.00017995837920506785	1.2240036134120893e-06	7.589812600965245e-07	radial_rms	0.931892451773407	16	primal-hull-uniform-disk[points=n+4,origin=interior]	0.8860103978823564	0.9956001247930315	3	0.04014188556202304
1.0003726150132286	0.9765667931212864	0.00017995837920506785	1.2240036134120893e-06	7.589812600965245e-07	angle_gap_cv	0.12827840892073883	16	primal-hull-uniform-disk[points=n+4,origin=interior]	0.056162359005115084	0.2002708477897549	3	0.053817766727107454
1.0002197211752089	0.041744173814113855	4.281318182039413e-06	3.045611070074654e-07	1.2897349846675267e-10	log_perimeter	1.5208850943779069	24	regular-mutation[steps=4,scale=0.03]	1.5172159755668866	1.5290449056326978	3	0.00417376490342749
1.0002197211752089	0.041744173814113855	4.281318182039413e-06	3.045611070074654e-07	1.2897349846675267e-10	covariance_anisotropy	1.2893690715892474	24	regular-mutation[steps=4,scale=0.03]	1.0489170139371042	1.6598169501071023	3	0.20301045981994228
1.0002197211752089	0.041744173814113855	4.281318182039413e-06	3.045611070074654e-07	1.2897349846675267e-10	radial_rms	0.882173344456303	24	regular-mutation[steps=4,scale=0.03]	0.8775215329672241	0.8926198298853005	3	0.0052956608065214015
1.0002197211752089	0.041744173814113855	4.281318182039413e-06	3.045611070074654e-07	1.2897349846675267e-10	angle_gap_cv	0.03559708005886265	24	regular-mutation[steps=4,scale=0.03]	0.007008689890833199	0.07426761909614085	3	0.022137043371353225
