method	pair_count	mean	median
raw_l2	60	2.3727073467847304	2.443041978806921
canonical_l2	60	1.6093354427531874	1.1250165187248857
assignment_l2	60	1.3145457822039737	1.0036900537440234
support_rms	60	0.2846861658595787	0.14757929649846652
support_rms_reflection	60	0.28416845906901994	0.1452157892321878
response_l2	60	0.44136983240434496	0.3425029173143045
