stratum	n	threshold_quantile	threshold	tail_n	mean_residual_life	median_residual_life	max_excess	enough_exceedances_flag
pooled:all	14336	0.75	0.48365042934564106	3584	0.10887477384358527	0.0957504666000209	0.37893546650379895	yes
pooled:all	14336	0.76000000000000001	0.48966495157835155	3441	0.10725068690577827	0.093979436571809072	0.37292094427108846	yes
pooled:all	14336	0.77000000000000002	0.49608036327281602	3298	0.10535058588735305	0.091440198482554913	0.36650553257662399	yes
pooled:all	14336	0.78000000000000003	0.50386788552351336	3154	0.10218099976955443	0.087995147827221731	0.35871801032592665	yes
pooled:all	14336	0.79000000000000004	0.51052931359673415	3011	0.10022154920087503	0.086487376586583342	0.35205658225270586	yes
pooled:all	14336	0.80000000000000004	0.51831788546983582	2867	0.097278186273600478	0.083818011471429199	0.34426801037960419	yes
pooled:all	14336	0.81000000000000005	0.52543544035389611	2724	0.095069572338936606	0.082178610760005155	0.3371504554955439	yes
pooled:all	14336	0.81999999999999995	0.53270832776404775	2581	0.092886340210677626	0.079864657176058174	0.32987756808539226	yes
pooled:all	14336	0.82999999999999996	0.5413463027644001	2437	0.089488496268027851	0.076332251596434642	0.32123959308503991	yes
pooled:all	14336	0.83999999999999997	0.5490253372353866	2294	0.087145607574384512	0.073217270642805421	0.31356055861405341	yes
pooled:all	14336	0.84999999999999998	0.55877578451916288	2151	0.082847804919493839	0.069539514765487254	0.30381011133027713	yes
pooled:all	14336	0.85999999999999999	0.5663332610988655	2007	0.080963297893277233	0.067641101598820086	0.29625263475057451	yes
pooled:all	14336	0.87	0.57488089144340093	1864	0.07830445444646264	0.065278990081453714	0.28770500440603908	yes
pooled:all	14336	0.88	0.58361808409855431	1721	0.075712199087667659	0.064083133027255879	0.2789678117508857	yes
pooled:all	14336	0.89000000000000001	0.59183443729228857	1577	0.074058614782475066	0.063532794613564314	0.27075145855715144	yes
pooled:all	14336	0.90000000000000002	0.60204906489505827	1434	0.070706227327295645	0.060415196775265745	0.26053683095438174	yes
pooled:all	14336	0.91000000000000003	0.6125693867498041	1291	0.067404090815687004	0.056511282613714409	0.25001650909963591	yes
pooled:all	14336	0.92000000000000004	0.62222843333810995	1147	0.065560851331332548	0.055695472893419806	0.24035746251133006	yes
pooled:all	14336	0.93000000000000005	0.6339721944086234	1004	0.06233760439622138	0.051313677251943413	0.22861370144081661	yes
pooled:all	14336	0.93999999999999995	0.64765598513670042	861	0.05796009319732847	0.04772248613735286	0.21492991071273959	yes
pooled:all	14336	0.94999999999999996	0.66242004608610294	717	0.053325090163411595	0.045510387780214767	0.20016584976333707	yes
pooled:all	14336	0.95999999999999996	0.67777444397348896	574	0.04953060123853107	0.041893857459253392	0.18481145187595105	yes
pooled:all	14336	0.96999999999999997	0.69537066852674778	431	0.04577503350286502	0.038479558131807923	0.16721522732269223	yes
pooled:all	14336	0.97999999999999998	0.71964297040857428	287	0.038725036179587571	0.032508823438351264	0.14294292544086573	yes
pooled:all	14336	0.98999999999999999	0.75210201224531514	144	0.03019754746845775	0.02488173593184001	0.11048388360412487	yes
dataset:random_sample	4096	0.75	0.42805392019717281	1024	0.11469189569193577	0.10009703320183483	0.4315056856056616	yes
dataset:random_sample	4096	0.76000000000000001	0.43664425132363288	983	0.11071955800227583	0.096143399382977612	0.42291535447920153	yes
dataset:random_sample	4096	0.77000000000000002	0.44355050880229552	942	0.10848903898407598	0.094114980417051686	0.4160090970005389	yes
dataset:random_sample	4096	0.78000000000000003	0.44919857451758827	901	0.10766201292085721	0.096531269145395671	0.41036103128524615	yes
dataset:random_sample	4096	0.79000000000000004	0.45652353235113047	860	0.10530644274919519	0.097117554420111551	0.40303607345170395	yes
dataset:random_sample	4096	0.80000000000000004	0.46506425039287708	819	0.10184535765969624	0.093914742490508407	0.39449535540995734	yes
dataset:random_sample	4096	0.81000000000000005	0.47409283939639452	779	0.097874938532167194	0.088854086451499448	0.3854667664064399	yes
dataset:random_sample	4096	0.81999999999999995	0.48076403485961472	738	0.096455590033343197	0.086359493909065221	0.37879557094321969	yes
dataset:random_sample	4096	0.82999999999999996	0.48884399565781084	697	0.093811234962833084	0.083180996875253876	0.37071561014502358	yes
dataset:random_sample	4096	0.83999999999999997	0.49856824436675706	656	0.089674684619676884	0.077968244596749114	0.36099136143607735	yes
dataset:random_sample	4096	0.84999999999999998	0.50692151930738005	615	0.086947834048912598	0.073922749812044941	0.35263808649545436	yes
dataset:random_sample	4096	0.85999999999999999	0.51581363842509587	574	0.083936850161326959	0.070206618088978656	0.34374596737773855	yes
dataset:random_sample	4096	0.87	0.5248082209129985	533	0.081043645035870956	0.066659228607067855	0.33475138488983591	yes
dataset:random_sample	4096	0.88	0.53275884025193276	492	0.07957097881697385	0.063998981066315352	0.32680076555090165	yes
dataset:random_sample	4096	0.89000000000000001	0.54550509452711915	451	0.073565378663279501	0.057653380706211399	0.31405451127571526	yes
dataset:random_sample	4096	0.90000000000000002	0.55894262137915063	410	0.066789017502303816	0.051233931648687892	0.30061698442368379	yes
dataset:random_sample	4096	0.91000000000000003	0.56710045658095809	369	0.065584837855535483	0.050083481208661129	0.29245914922187632	yes
dataset:random_sample	4096	0.92000000000000004	0.57652960464383285	328	0.063737316799963514	0.049967320444730567	0.28303000115900157	yes
dataset:random_sample	4096	0.93000000000000005	0.58587192404844379	287	0.062836274121367608	0.05098734612825806	0.27368768175439062	yes
dataset:random_sample	4096	0.93999999999999995	0.59671257890036478	246	0.061488101568035573	0.04908222506333082	0.26284702690246964	yes
dataset:random_sample	4096	0.94999999999999996	0.6101385841537581	205	0.058932266833908731	0.048182141592190919	0.24942102164907631	yes
dataset:random_sample	4096	0.95999999999999996	0.62637261995167259	164	0.055491985197207869	0.042804393779024508	0.23318698585116182	yes
dataset:random_sample	4096	0.96999999999999997	0.64578477133968248	123	0.051200814038543631	0.039391146162541801	0.21377483446315193	yes
dataset:random_sample	4096	0.97999999999999998	0.66824707747544843	82	0.047927573996478338	0.038672769569150944	0.19131252832738599	yes
