stratum	n	model	fit_threshold_quantile	fit_threshold	test_threshold_quantile	test_threshold	observed_exceedances	observed_rate	fit_status	fit_tail_n	status	predicted_probability	predicted_expected_count	predicted_over_observed_count	observed_rate_wilson_95_lower	observed_rate_wilson_95_upper	predicted_inside_wilson_interval	binomial_log_score	shape	scale	endpoint
pooled:all	14336	exponential_excess	0.75	0.48365042934564106	0.90000000000000002	0.60204906489505827	1434	0.10002790178571429	ok	3584	ok	0.084266596635080307	1208.0459293605113	0.84243091308264384	0.095223094281499596	0.10504700403637081	no	-4683.1488753707335	0	0.10887477384358527	infinite
pooled:all	14336	exponential_excess	0.75	0.48365042934564106	0.94999999999999996	0.66242004608610294	717	0.050013950892857144	ok	3584	ok	0.048399345245071286	693.85301343334197	0.96771689460717147	0.04656482790612191	0.053704164812500656	yes	-2846.9049046210998	0	0.10887477384358527	infinite
pooled:all	14336	exponential_excess	0.75	0.48365042934564106	0.98999999999999999	0.75210201224531514	144	0.010044642857142858	ok	3584	ok	0.021237523969131103	304.46114362146352	2.1143134973712745	0.0085385106932380182	0.011813280479542155	no	-859.33545019784538	0	0.10887477384358527	infinite
pooled:all	14336	gpd_excess	0.75	0.48365042934564106	0.90000000000000002	0.60204906489505827	1434	0.10002790178571429	ok	3584	ok	0.097049228461905293	1391.2977392298742	0.97022157547411036	0.095223094281499596	0.10504700403637081	yes	-4661.9875594684509	-0.3888046894907613	0.14955017386677621	0.86829129893661805
pooled:all	14336	gpd_excess	0.75	0.48365042934564106	0.94999999999999996	0.66242004608610294	717	0.050013950892857144	ok	3584	ok	0.050089830331732421	718.08780763571599	1.0015171654612496	0.04656482790612191	0.053704164812500656	yes	-2846.5042548391812	-0.3888046894907613	0.14955017386677621	0.86829129893661805
pooled:all	14336	gpd_excess	0.75	0.48365042934564106	0.98999999999999999	0.75210201224531514	144	0.010044642857142858	ok	3584	ok	0.01150249863140825	164.89982037986869	1.1451376415268659	0.0085385106932380182	0.011813280479542155	yes	-807.17707981499143	-0.3888046894907613	0.14955017386677621	0.86829129893661805
pooled:all	14336	exponential_excess	0.80000000000000004	0.51831788546983582	0.90000000000000002	0.60204906489505827	1434	0.10002790178571429	ok	2867	ok	0.084563953053752097	1212.3088309785901	0.84540364782328459	0.095223094281499596	0.10504700403637081	no	-4682.2877540730269	0	0.097278186273600478	infinite
pooled:all	14336	exponential_excess	0.80000000000000004	0.51831788546983582	0.94999999999999996	0.66242004608610294	717	0.050013950892857144	ok	2867	ok	0.045463357064119046	651.76268687121069	0.9090135102806286	0.04656482790612191	0.053704164812500656	no	-2849.820271560433	0	0.097278186273600478	infinite
pooled:all	14336	exponential_excess	0.80000000000000004	0.51831788546983582	0.98999999999999999	0.75210201224531514	144	0.010044642857142858	ok	2867	ok	0.018083397685850374	259.24358922435096	1.8003027029468817	0.0085385106932380182	0.011813280479542155	no	-836.8259836227993	0	0.097278186273600478	infinite
pooled:all	14336	gpd_excess	0.80000000000000004	0.51831788546983582	0.90000000000000002	0.60204906489505827	1434	0.10002790178571429	ok	2867	ok	0.097291043854339093	1394.7644046958053	0.97263905487852531	0.095223094281499596	0.10504700403637081	yes	-4661.8746301210886	-0.37722486544406403	0.1327133305504869	0.87013279139937616
pooled:all	14336	gpd_excess	0.80000000000000004	0.51831788546983582	0.94999999999999996	0.66242004608610294	717	0.050013950892857144	ok	2867	ok	0.049468584737748796	709.18163080036675	0.98909571938684349	0.04656482790612191	0.053704164812500656	yes	-2846.548569632288	-0.37722486544406403	0.1327133305504869	0.87013279139937616
pooled:all	14336	gpd_excess	0.80000000000000004	0.51831788546983582	0.98999999999999999	0.75210201224531514	144	0.010044642857142858	ok	2867	ok	0.011056284392339449	158.50289304857833	1.1007145350595717	0.0085385106932380182	0.011813280479542155	yes	-806.46956607420702	-0.37722486544406403	0.1327133305504869	0.87013279139937616
pooled:all	14336	exponential_excess	0.84999999999999998	0.55877578451916288	0.90000000000000002	0.60204906489505827	1434	0.10002790178571429	ok	2151	ok	0.08899602261347267	1275.8469801867441	0.88971198060442402	0.095223094281499596	0.10504700403637081	no	-4671.650421907857	0	0.082847804919493839	infinite
pooled:all	14336	exponential_excess	0.84999999999999998	0.55877578451916288	0.94999999999999996	0.66242004608610294	717	0.050013950892857144	ok	2151	ok	0.042943885071750787	615.64353638861928	0.85863812606501988	0.04656482790612191	0.053704164812500656	no	-2854.7985590023527	0	0.082847804919493839	infinite
pooled:all	14336	exponential_excess	0.84999999999999998	0.55877578451916288	0.98999999999999999	0.75210201224531514	144	0.010044642857142858	ok	2151	ok	0.014547275309734549	208.54973884035451	1.4482620752802395	0.0085385106932380182	0.011813280479542155	no	-817.14195950104954	0	0.082847804919493839	infinite
pooled:all	14336	gpd_excess	0.84999999999999998	0.55877578451916288	0.90000000000000002	0.60204906489505827	1434	0.10002790178571429	ok	2151	ok	0.098882396799321245	1417.5780405150695	0.98854814540799818	0.095223094281499596	0.10504700403637081	yes	-4661.3735316888733	-0.35255878573066113	0.11159210027542577	0.87529633312542299
pooled:all	14336	gpd_excess	0.84999999999999998	0.55877578451916288	0.94999999999999996	0.66242004608610294	717	0.050013950892857144	ok	2151	ok	0.048704778514635158	698.2317047858096	0.97382385604715427	0.04656482790612191	0.053704164812500656	yes	-2846.7663208007143	-0.35255878573066113	0.11159210027542577	0.87529633312542299
pooled:all	14336	gpd_excess	0.84999999999999998	0.55877578451916288	0.98999999999999999	0.75210201224531514	144	0.010044642857142858	ok	2151	ok	0.010323364001746623	147.9957463290396	1.0277482383961083	0.0085385106932380182	0.011813280479542155	yes	-805.83242775214956	-0.35255878573066113	0.11159210027542577	0.87529633312542299
dataset:random_sample	4096	exponential_excess	0.75	0.42805392019717281	0.90000000000000002	0.55894262137915063	410	0.10009765625	ok	1024	ok	0.079857259003766085	327.09533287942588	0.79779349482786799	0.091277707334425917	0.10966700408806634	no	-1343.0537051918591	0	0.11469189569193577	infinite
dataset:random_sample	4096	exponential_excess	0.75	0.42805392019717281	0.94999999999999996	0.6101385841537581	205	0.050048828125	ok	1024	ok	0.051103989745336365	209.32194199689775	1.0210826438873062	0.043782721410384751	0.057158123004543981	yes	-813.75455246455226	0	0.11469189569193577	infinite
dataset:random_sample	4096	exponential_excess	0.75	0.42805392019717281	0.98999999999999999	0.70515620801278245	41	0.010009765625	ok	1024	ok	0.022318206515280537	91.41537388658908	2.2296432655265628	0.0073873457194077235	0.013550405089470172	no	-247.42196456913052	0	0.11469189569193577	infinite
dataset:random_sample	4096	gpd_excess	0.75	0.42805392019717281	0.90000000000000002	0.55894262137915063	410	0.10009765625	ok	1024	ok	0.089477959341243488	366.50172146173333	0.89390663771154466	0.091277707334425917	0.10966700408806634	no	-1335.1580281570712	-0.34075586299036531	0.15098868326951181	0.87115321699131465
dataset:random_sample	4096	gpd_excess	0.75	0.42805392019717281	0.94999999999999996	0.6101385841537581	205	0.050048828125	ok	1024	ok	0.052899387519448754	216.6758912796621	1.0569555672178639	0.043782721410384751	0.057158123004543981	yes	-814.04516914550106	-0.34075586299036531	0.15098868326951181	0.87115321699131465
dataset:random_sample	4096	gpd_excess	0.75	0.42805392019717281	0.98999999999999999	0.70515620801278245	41	0.010009765625	ok	1024	ok	0.014015283830295678	57.406602568891095	1.4001610382656364	0.0073873457194077235	0.013550405089470172	no	-232.20587531042895	-0.34075586299036531	0.15098868326951181	0.87115321699131465
dataset:random_sample	4096	exponential_excess	0.80000000000000004	0.46506425039287708	0.90000000000000002	0.55894262137915063	410	0.10009765625	ok	819	ok	0.079543139333890983	325.80869871161747	0.79465536271126214	0.091277707334425917	0.10966700408806634	no	-1343.4115089499128	0	0.10184535765969624	infinite
dataset:random_sample	4096	exponential_excess	0.80000000000000004	0.46506425039287708	0.94999999999999996	0.6101385841537581	205	0.050048828125	ok	819	ok	0.048116068466116726	197.08341643721411	0.96138251920592255	0.043782721410384751	0.057158123004543981	yes	-813.87217659896407	0	0.10184535765969624	infinite
dataset:random_sample	4096	exponential_excess	0.80000000000000004	0.46506425039287708	0.98999999999999999	0.70515620801278245	41	0.010009765625	ok	819	ok	0.018928266588672506	77.530179947202583	1.8909799987122582	0.0073873457194077235	0.013550405089470172	no	-240.14088523779918	0	0.10184535765969624	infinite
dataset:random_sample	4096	gpd_excess	0.80000000000000004	0.46506425039287708	0.90000000000000002	0.55894262137915063	410	0.10009765625	ok	819	ok	0.089524903116233762	366.69400316409349	0.89437561747339878	0.091277707334425917	0.10966700408806634	no	-1335.1330258567159	-0.32350822483001829	0.13267099768402368	0.87516509946320076
dataset:random_sample	4096	gpd_excess	0.80000000000000004	0.46506425039287708	0.94999999999999996	0.6101385841537581	205	0.050048828125	ok	819	ok	0.051861498497571025	212.42469784605092	1.0362180382734192	0.043782721410384751	0.057158123004543981	yes	-813.84560786119005	-0.32350822483001829	0.13267099768402368	0.87516509946320076
dataset:random_sample	4096	gpd_excess	0.80000000000000004	0.46506425039287708	0.98999999999999999	0.70515620801278245	41	0.010009765625	ok	819	ok	0.013146921699944313	53.849791282971907	1.3134095434871196	0.0073873457194077235	0.013550405089470172	yes	-231.25857898172319	-0.32350822483001829	0.13267099768402368	0.87516509946320076
dataset:random_sample	4096	exponential_excess	0.84999999999999998	0.50692151930738005	0.90000000000000002	0.55894262137915063	410	0.10009765625	ok	615	ok	0.082542138346630253	338.09259866779752	0.82461609431170124	0.091277707334425917	0.10966700408806634	no	-1340.2668435850792	0	0.086947834048912598	infinite
dataset:random_sample	4096	exponential_excess	0.84999999999999998	0.50692151930738005	0.94999999999999996	0.6101385841537581	205	0.050048828125	ok	615	ok	0.045809730805090147	187.63665737764924	0.91530076769585	0.043782721410384751	0.057158123004543981	yes	-814.52553046620187	0	0.086947834048912598	infinite
dataset:random_sample	4096	exponential_excess	0.84999999999999998	0.50692151930738005	0.98999999999999999	0.70515620801278245	41	0.010009765625	ok	615	ok	0.015358739737945788	62.909397966625946	1.5343755601616085	0.0073873457194077235	0.013550405089470172	no	-233.98180731205576	0	0.086947834048912598	infinite
dataset:random_sample	4096	gpd_excess	0.84999999999999998	0.50692151930738005	0.90000000000000002	0.55894262137915063	410	0.10009765625	ok	615	ok	0.090848902103258342	372.11710301494617	0.90760269028035645	0.091277707334425917	0.10966700408806634	no	-1334.4778925671721	-0.29500152017330405	0.1114049958744868	0.88456362708038361
dataset:random_sample	4096	gpd_excess	0.84999999999999998	0.50692151930738005	0.94999999999999996	0.6101385841537581	205	0.050048828125	ok	615	ok	0.05087389303227801	208.37946586021073	1.0164851993181012	0.043782721410384751	0.057158123004543981	yes	-813.73624340038793	-0.29500152017330405	0.1114049958744868	0.88456362708038361
dataset:random_sample	4096	gpd_excess	0.84999999999999998	0.50692151930738005	0.98999999999999999	0.70515620801278245	41	0.010009765625	ok	615	ok	0.012044588078244618	49.334632768489953	1.2032837260607305	0.0073873457194077235	0.013550405089470172	yes	-230.32205522453216	-0.29500152017330405	0.1114049958744868	0.88456362708038361
dataset:random_product_sample	10240	exponential_excess	0.75	0.5013363661736796	0.90000000000000002	0.61876798769465591	1024	0.10000000000000001	ok	2560	ok	0.083224463967341678	852.21851102557878	0.83224463967341678	0.094338575693642082	0.10596142573345042	no	-3346.6854332962243	0	0.10676382543790393	infinite
dataset:random_product_sample	10240	exponential_excess	0.75	0.5013363661736796	0.94999999999999996	0.67614655853018124	512	0.050000000000000003	ok	2560	ok	0.048623491125406156	497.90454912415902	0.97246982250812308	0.045944882721579663	0.054392618883899388	yes	-2033.003955204535	0	0.10676382543790393	infinite
dataset:random_product_sample	10240	exponential_excess	0.75	0.5013363661736796	0.98999999999999999	0.76051313149295285	103	0.010058593750000001	ok	2560	ok	0.022062733732697393	225.9223934228213	2.1934212953671972	0.008301238936614698	0.012183406366052044	no	-618.98212689182924	0	0.10676382543790393	infinite
dataset:random_product_sample	10240	gpd_excess	0.75	0.5013363661736796	0.90000000000000002	0.61876798769465591	1024	0.10000000000000001	ok	2560	ok	0.096106732746724072	984.13294332645455	0.96106732746724077	0.094338575693642082	0.10596142573345042	yes	-3329.7324446554576	-0.40555181716072364	0.14818339240980574	0.86672344160892401
