stratum	n	model	posterior_mean_p_sys_gt_1	run_size	posterior_predictive_at_least_one
generic:F12	512	skeptical_beta_0.01_10000	9.5129285455398159e-07	10000	0.0066628599085398754
generic:F12	512	skeptical_beta_0.01_10000	9.5129285455398159e-07	100000	0.023251902257713675
generic:F12	512	skeptical_beta_0.01_10000	9.5129285455398159e-07	1000000	0.044630800266474147
generic:F5	512	jeffreys_beta_0.5_0.5	0.00097465886939571145	10000	0.77925383415900307
generic:F5	512	jeffreys_beta_0.5_0.5	0.00097465886939571145	100000	0.92861096491674688
generic:F5	512	jeffreys_beta_0.5_0.5	0.00097465886939571145	1000000	0.97737285268582597
generic:F5	512	uniform_beta_1_1	0.0019455252918287938	10000	0.95120327213941691
generic:F5	512	uniform_beta_1_1	0.0019455252918287938	100000	0.99489618258279999
generic:F5	512	uniform_beta_1_1	0.0019455252918287938	1000000	0.99948726303516955
generic:F5	512	pessimistic_beta_0.1_1000	6.6133192249189873e-05	10000	0.18373932853218489
generic:F5	512	pessimistic_beta_0.1_1000	6.6133192249189873e-05	100000	0.34341537835725922
generic:F5	512	pessimistic_beta_0.1_1000	6.6133192249189873e-05	1000000	0.47775215436195806
generic:F5	512	skeptical_beta_0.01_10000	9.5129285455398159e-07	10000	0.0066628599085398754
generic:F5	512	skeptical_beta_0.01_10000	9.5129285455398159e-07	100000	0.023251902257713675
generic:F5	512	skeptical_beta_0.01_10000	9.5129285455398159e-07	1000000	0.044630800266474147
generic:F6	512	jeffreys_beta_0.5_0.5	0.00097465886939571145	10000	0.77925383415900307
generic:F6	512	jeffreys_beta_0.5_0.5	0.00097465886939571145	100000	0.92861096491674688
generic:F6	512	jeffreys_beta_0.5_0.5	0.00097465886939571145	1000000	0.97737285268582597
generic:F6	512	uniform_beta_1_1	0.0019455252918287938	10000	0.95120327213941691
generic:F6	512	uniform_beta_1_1	0.0019455252918287938	100000	0.99489618258279999
generic:F6	512	uniform_beta_1_1	0.0019455252918287938	1000000	0.99948726303516955
generic:F6	512	pessimistic_beta_0.1_1000	6.6133192249189873e-05	10000	0.18373932853218489
generic:F6	512	pessimistic_beta_0.1_1000	6.6133192249189873e-05	100000	0.34341537835725922
generic:F6	512	pessimistic_beta_0.1_1000	6.6133192249189873e-05	1000000	0.47775215436195806
generic:F6	512	skeptical_beta_0.01_10000	9.5129285455398159e-07	10000	0.0066628599085398754
generic:F6	512	skeptical_beta_0.01_10000	9.5129285455398159e-07	100000	0.023251902257713675
generic:F6	512	skeptical_beta_0.01_10000	9.5129285455398159e-07	1000000	0.044630800266474147
generic:F7	512	jeffreys_beta_0.5_0.5	0.00097465886939571145	10000	0.77925383415900307
generic:F7	512	jeffreys_beta_0.5_0.5	0.00097465886939571145	100000	0.92861096491674688
generic:F7	512	jeffreys_beta_0.5_0.5	0.00097465886939571145	1000000	0.97737285268582597
generic:F7	512	uniform_beta_1_1	0.0019455252918287938	10000	0.95120327213941691
generic:F7	512	uniform_beta_1_1	0.0019455252918287938	100000	0.99489618258279999
generic:F7	512	uniform_beta_1_1	0.0019455252918287938	1000000	0.99948726303516955
generic:F7	512	pessimistic_beta_0.1_1000	6.6133192249189873e-05	10000	0.18373932853218489
generic:F7	512	pessimistic_beta_0.1_1000	6.6133192249189873e-05	100000	0.34341537835725922
generic:F7	512	pessimistic_beta_0.1_1000	6.6133192249189873e-05	1000000	0.47775215436195806
generic:F7	512	skeptical_beta_0.01_10000	9.5129285455398159e-07	10000	0.0066628599085398754
generic:F7	512	skeptical_beta_0.01_10000	9.5129285455398159e-07	100000	0.023251902257713675
generic:F7	512	skeptical_beta_0.01_10000	9.5129285455398159e-07	1000000	0.044630800266474147
generic:F8	512	jeffreys_beta_0.5_0.5	0.00097465886939571145	10000	0.77925383415900307
generic:F8	512	jeffreys_beta_0.5_0.5	0.00097465886939571145	100000	0.92861096491674688
generic:F8	512	jeffreys_beta_0.5_0.5	0.00097465886939571145	1000000	0.97737285268582597
generic:F8	512	uniform_beta_1_1	0.0019455252918287938	10000	0.95120327213941691
generic:F8	512	uniform_beta_1_1	0.0019455252918287938	100000	0.99489618258279999
generic:F8	512	uniform_beta_1_1	0.0019455252918287938	1000000	0.99948726303516955
