stratum	n	rank_desc	sys	gap_from_one	gap_to_next_lower	gap_to_record	empirical_tail_mass_at_or_above_rank
pooled:all	14336	1	0.86258589584944001	0.13741410415055999	0.0030262900466055953	0	6.9754464285714282e-05
pooled:all	14336	2	0.85955960580283441	0.14044039419716559	0.0059477176325872794	0.0030262900466055953	0.00013950892857142856
pooled:all	14336	3	0.85361188817024714	0.14638811182975286	0.0077081210339619011	0.0089740076791928747	0.00020926339285714285
pooled:all	14336	4	0.84590376713628523	0.15409623286371477	0.00085672110009815672	0.016682128713154776	0.00027901785714285713
pooled:all	14336	5	0.84504704603618708	0.15495295396381292	0.0012515381227736766	0.017538849813252932	0.00034877232142857144
pooled:all	14336	6	0.8437955079134134	0.1562044920865866	0.0052626925272076797	0.018790387936026609	0.00041852678571428569
pooled:all	14336	7	0.83853281538620572	0.16146718461379428	0.00040832645662602918	0.024053080463234289	0.00048828125
pooled:all	14336	8	0.83812448892957969	0.16187551107042031	0.0071717121432710584	0.024461406919860318	0.00055803571428571425
pooled:all	14336	9	0.83095277678630863	0.16904722321369137	0.0016862215881354725	0.031633119063131376	0.00062779017857142862
pooled:all	14336	10	0.82926655519817316	0.17073344480182684	0.0045002805740063101	0.033319340651266849	0.00069754464285714287
pooled:all	14336	11	0.82476627462416685	0.17523372537583315	0.0047099816509332815	0.037819621225273159	0.00076729910714285713
pooled:all	14336	12	0.82005629297323357	0.17994370702676643	0.002509021970866443	0.04252960287620644	0.00083705357142857138
pooled:all	14336	13	0.81754727100236713	0.18245272899763287	0.001750392515698862	0.045038624847072883	0.00090680803571428575
pooled:all	14336	14	0.81579687848666826	0.18420312151333174	0.0016966451837153729	0.046789017362771745	0.0009765625
pooled:all	14336	15	0.81410023330295289	0.18589976669704711	0.0023176059338391175	0.048485662546487118	0.0010463169642857143
pooled:all	14336	16	0.81178262736911377	0.18821737263088623	0.0037396387952535193	0.050803268480326236	0.0011160714285714285
pooled:all	14336	17	0.80804298857386025	0.19195701142613975	0.00052585371733093744	0.054542907275579755	0.0011858258928571428
pooled:all	14336	18	0.80751713485652932	0.19248286514347068	0.00016839812415170297	0.055068760992910692	0.0012555803571428572
pooled:all	14336	19	0.80734873673237761	0.19265126326762239	0.0024037825429525927	0.055237159117062395	0.0013253348214285715
pooled:all	14336	20	0.80494495418942502	0.19505504581057498	0.00046864197614460146	0.057640941660014988	0.0013950892857142857
pooled:all	14336	21	0.80447631221328042	0.19552368778671958	0.00056368608268042575	0.05810958363615959	0.00146484375
pooled:all	14336	22	0.80391262613059999	0.19608737386940001	0.00081872881263544972	0.058673269718840015	0.0015345982142857143
pooled:all	14336	23	0.80309389731796454	0.19690610268203546	0.00016832559730683982	0.059491998531475465	0.0016043526785714285
pooled:all	14336	24	0.8029255717206577	0.1970744282793423	0.0010471354012094869	0.059660324128782305	0.0016741071428571428
pooled:all	14336	25	0.80187843631944822	0.19812156368055178	0.0015045148152497134	0.060707459529991792	0.0017438616071428572
pooled:all	14336	26	0.8003739215041985	0.1996260784958015	6.1167911851622847e-05	0.062211974345241505	0.0018136160714285715
pooled:all	14336	27	0.80031275359234688	0.19968724640765312	0.0008533506921960532	0.062273142257093128	0.0018833705357142857
pooled:all	14336	28	0.79945940290015083	0.20054059709984917	0.00020725426282686144	0.063126492949289181	0.001953125
pooled:all	14336	29	0.79925214863732397	0.20074785136267603	0.00042946153266987253	0.063333747212116043	0.0020228794642857145
pooled:all	14336	30	0.79882268710465409	0.20117731289534591	0.00048770280607257632	0.063763208744785915	0.0020926339285714285
dataset:random_sample	4096	1	0.85955960580283441	0.14044039419716559	0.034793331178667564	0	0.000244140625
dataset:random_sample	4096	2	0.82476627462416685	0.17523372537583315	0.016723286050306596	0.034793331178667564	0.00048828125
dataset:random_sample	4096	3	0.80804298857386025	0.19195701142613975	0.010282868132502898	0.05151661722897416	0.000732421875
dataset:random_sample	4096	4	0.79776012044135736	0.20223987955864264	0.014167414314814275	0.061799485361477058	0.0009765625
dataset:random_sample	4096	5	0.78359270612654308	0.21640729387345692	0.0011091598412292791	0.075966899676291333	0.001220703125
dataset:random_sample	4096	6	0.7824835462853138	0.2175164537146862	0.001348214799766545	0.077076059517520612	0.00146484375
dataset:random_sample	4096	7	0.78113533148554726	0.21886466851445274	0.0028281857906131691	0.078424274317287157	0.001708984375
dataset:random_sample	4096	8	0.77830714569493409	0.22169285430506591	0.0024369616406915151	0.081252460107900326	0.001953125
dataset:random_sample	4096	9	0.77587018405424257	0.22412981594575743	0.00024299651495562902	0.083689421748591841	0.002197265625
dataset:random_sample	4096	10	0.77562718753928694	0.22437281246071306	0.009621686853979794	0.08393241826354747	0.00244140625
dataset:random_sample	4096	11	0.76600550068530715	0.23399449931469285	0.0005336941829506836	0.093554105117527264	0.002685546875
dataset:random_sample	4096	12	0.76547180650235647	0.23452819349764353	0.0057630276477343978	0.094087799300477948	0.0029296875
dataset:random_sample	4096	13	0.75970877885462207	0.24029122114537793	0.0015114572357933787	0.099850826948212346	0.003173828125
dataset:random_sample	4096	14	0.75819732161882869	0.24180267838117131	0.0018645145635380889	0.10136228418400572	0.00341796875
dataset:random_sample	4096	15	0.7563328070552906	0.2436671929447094	0.0052208131201978425	0.10322679874754381	0.003662109375
dataset:random_sample	4096	16	0.75111199393509276	0.24888800606490724	0.0051405004042270885	0.10844761186774166	0.00390625
dataset:random_sample	4096	17	0.74597149353086567	0.25402850646913433	0.00011925424052272593	0.11358811227196874	0.004150390625
dataset:random_sample	4096	18	0.74585223929034294	0.25414776070965706	0.00099898837348566527	0.11370736651249147	0.00439453125
dataset:random_sample	4096	19	0.74485325091685728	0.25514674908314272	0.0058542279450286561	0.11470635488597714	0.004638671875
dataset:random_sample	4096	20	0.73899902297182862	0.26100097702817138	0.0019950321556092554	0.12056058283100579	0.0048828125
dataset:random_sample	4096	21	0.73700399081621937	0.26299600918378063	0.00015822409584553832	0.12255561498661505	0.005126953125
dataset:random_sample	4096	22	0.73684576672037383	0.26315423327962617	0.0017554381344094816	0.12271383908246059	0.00537109375
dataset:random_sample	4096	23	0.73509032858596435	0.26490967141403565	0.00039089043636064691	0.12446927721687007	0.005615234375
dataset:random_sample	4096	24	0.7346994381496037	0.2653005618503963	0.0025266931232715839	0.12486016765323071	0.005859375
