stratum	n	threshold	exceedances_sys_gt_threshold	empirical_survival	max_sys	q99_sys
dataset:random_product_sample	10240	0.5	2579	0.25185546874999998	0.86258589584944001	0.76051313149295285
dataset:random_product_sample	10240	0.59999999999999998	1226	0.11972656249999999	0.86258589584944001	0.76051313149295285
dataset:random_product_sample	10240	0.69999999999999996	353	0.034472656249999997	0.86258589584944001	0.76051313149295285
dataset:random_product_sample	10240	0.75	137	0.013378906249999999	0.86258589584944001	0.76051313149295285
dataset:random_product_sample	10240	0.80000000000000004	24	0.0023437499999999999	0.86258589584944001	0.76051313149295285
dataset:random_product_sample	10240	0.84999999999999998	2	0.00019531250000000001	0.86258589584944001	0.76051313149295285
dataset:random_product_sample	10240	0.86250000000000004	1	9.7656250000000005e-05	0.86258589584944001	0.76051313149295285
dataset:random_product_sample	10240	0.90000000000000002	0	0	0.86258589584944001	0.76051313149295285
dataset:random_product_sample	10240	0.94999999999999996	0	0	0.86258589584944001	0.76051313149295285
dataset:random_product_sample	10240	1	0	0	0.86258589584944001	0.76051313149295285
dataset:random_sample	4096	0.5	653	0.159423828125	0.85955960580283441	0.70515620801278245
dataset:random_sample	4096	0.59999999999999998	237	0.057861328125	0.85955960580283441	0.70515620801278245
dataset:random_sample	4096	0.69999999999999996	44	0.0107421875	0.85955960580283441	0.70515620801278245
dataset:random_sample	4096	0.75	16	0.00390625	0.85955960580283441	0.70515620801278245
dataset:random_sample	4096	0.80000000000000004	3	0.000732421875	0.85955960580283441	0.70515620801278245
dataset:random_sample	4096	0.84999999999999998	1	0.000244140625	0.85955960580283441	0.70515620801278245
dataset:random_sample	4096	0.86250000000000004	0	0	0.85955960580283441	0.70515620801278245
dataset:random_sample	4096	0.90000000000000002	0	0	0.85955960580283441	0.70515620801278245
dataset:random_sample	4096	0.94999999999999996	0	0	0.85955960580283441	0.70515620801278245
dataset:random_sample	4096	1	0	0	0.85955960580283441	0.70515620801278245
generic:F10	512	0.5	126	0.24609375	0.85955960580283441	0.74520452176937146
generic:F10	512	0.59999999999999998	47	0.091796875	0.85955960580283441	0.74520452176937146
generic:F10	512	0.69999999999999996	9	0.017578125	0.85955960580283441	0.74520452176937146
generic:F10	512	0.75	5	0.009765625	0.85955960580283441	0.74520452176937146
generic:F10	512	0.80000000000000004	1	0.001953125	0.85955960580283441	0.74520452176937146
generic:F10	512	0.84999999999999998	1	0.001953125	0.85955960580283441	0.74520452176937146
generic:F10	512	0.86250000000000004	0	0	0.85955960580283441	0.74520452176937146
generic:F10	512	0.90000000000000002	0	0	0.85955960580283441	0.74520452176937146
generic:F10	512	0.94999999999999996	0	0	0.85955960580283441	0.74520452176937146
generic:F10	512	1	0	0	0.85955960580283441	0.74520452176937146
generic:F11	512	0.5	139	0.271484375	0.78359270612654308	0.70039303165892586
generic:F11	512	0.59999999999999998	56	0.109375	0.78359270612654308	0.70039303165892586
generic:F11	512	0.69999999999999996	6	0.01171875	0.78359270612654308	0.70039303165892586
generic:F11	512	0.75	3	0.005859375	0.78359270612654308	0.70039303165892586
generic:F11	512	0.80000000000000004	0	0	0.78359270612654308	0.70039303165892586
generic:F11	512	0.84999999999999998	0	0	0.78359270612654308	0.70039303165892586
generic:F11	512	0.86250000000000004	0	0	0.78359270612654308	0.70039303165892586
generic:F11	512	0.90000000000000002	0	0	0.78359270612654308	0.70039303165892586
generic:F11	512	0.94999999999999996	0	0	0.78359270612654308	0.70039303165892586
generic:F11	512	1	0	0	0.78359270612654308	0.70039303165892586
generic:F12	512	0.5	187	0.365234375	0.82476627462416685	0.74956011359201646
generic:F12	512	0.59999999999999998	79	0.154296875	0.82476627462416685	0.74956011359201646
generic:F12	512	0.69999999999999996	19	0.037109375	0.82476627462416685	0.74956011359201646
generic:F12	512	0.75	6	0.01171875	0.82476627462416685	0.74956011359201646
