accepted_rows	attempts_total_accepted_prefix	attempts_total_with_exhaustion	censored	comparison_eligible	exhausted_rows	first_hit_accepted_index	first_hit_attempt	generator_ms	population	region	rejections_in_accepted_prefix	rejections_with_exhaustion	requested_rows	seed	seed_role	side_count	support_overlap	validation_ms_estimate
17	937	913	True	True	7	NA	NA	1.6511010000000002	primal-hull-uniform-disk[points=n+4,origin=interior]	isoperimetric_ratio_high	920	896	24	20260718	confirmation-2	3	1.0	14.997356564216457
24	24	24	True	True	0	NA	NA	0.024629000000000005	regular-mutation[steps=4,scale=0.03]	isoperimetric_ratio_high	0	0	24	20260718	confirmation-2	3	1.0	21.172738678893822
24	24	24	True	True	0	NA	NA	0.019077	repulsive-gap[alpha=16]	isoperimetric_ratio_high	0	0	24	20260718	confirmation-2	3	1.0	21.172738678893822
24	82	24	False	True	0	2	17	0.029831	repulsive-gap[alpha=1]	isoperimetric_ratio_high	58	0	24	20260718	confirmation-2	3	1.0	21.172738678893822
24	30	24	False	True	0	6	9	0.023443000000000002	repulsive-gap[alpha=4]	isoperimetric_ratio_high	6	0	24	20260718	confirmation-2	3	1.0	21.172738678893822
24	24	24	True	True	0	NA	NA	0.010971	repulsive-gap[regular]	isoperimetric_ratio_high	0	0	24	20260718	confirmation-2	3	1.0	21.172738678893822
24	96	24	False	True	0	20	87	0.07508	current-baseline[delta=0.2]	support_roughness_low	72	0	24	20260717	confirmation-1	3	1.0	21.172738678893822
17	854	913	False	True	7	2	199	1.5733940000000002	primal-hull-uniform-disk[points=n+4,origin=interior]	support_roughness_low	837	896	24	20260717	confirmation-1	3	1.0	14.997356564216457
24	24	24	False	True	0	8	8	0.03771100000000001	regular-mutation[steps=4,scale=0.03]	support_roughness_low	0	0	24	20260717	confirmation-1	3	0.9611696968185055	21.172738678893822
24	26	24	False	True	0	6	8	0.020046000000000005	repulsive-gap[alpha=16]	support_roughness_low	2	0	24	20260717	confirmation-1	3	0.9725943094612008	21.172738678893822
24	71	24	False	True	0	4	20	0.043561	repulsive-gap[alpha=1]	support_roughness_low	47	0	24	20260717	confirmation-1	3	0.9994920140011494	21.172738678893822
24	29	24	False	True	0	12	15	0.06114800000000001	repulsive-gap[alpha=4]	support_roughness_low	5	0	24	20260717	confirmation-1	3	1.0	21.172738678893822
24	24	24	True	True	0	NA	NA	0.018194000000000002	repulsive-gap[regular]	support_roughness_low	0	0	24	20260717	confirmation-1	3	1.0	21.172738678893822
24	73	24	False	True	0	3	10	0.07970200000000002	current-baseline[delta=0.2]	support_roughness_low	49	0	24	20260718	confirmation-2	3	0.9460382114864158	21.172738678893822
17	937	913	False	True	7	1	80	1.6511010000000002	primal-hull-uniform-disk[points=n+4,origin=interior]	support_roughness_low	920	896	24	20260718	confirmation-2	3	1.0	14.997356564216457
24	24	24	False	True	0	4	4	0.024629000000000005	regular-mutation[steps=4,scale=0.03]	support_roughness_low	0	0	24	20260718	confirmation-2	3	0.9944438237164588	21.172738678893822
24	24	24	False	True	0	5	5	0.019077	repulsive-gap[alpha=16]	support_roughness_low	0	0	24	20260718	confirmation-2	3	1.0	21.172738678893822
24	82	24	False	True	0	4	23	0.029831	repulsive-gap[alpha=1]	support_roughness_low	58	0	24	20260718	confirmation-2	3	0.9867297464389778	21.172738678893822
24	30	24	False	True	0	1	2	0.023443000000000002	repulsive-gap[alpha=4]	support_roughness_low	6	0	24	20260718	confirmation-2	3	0.9969688702804684	21.172738678893822
24	24	24	True	True	0	NA	NA	0.010971	repulsive-gap[regular]	support_roughness_low	0	0	24	20260718	confirmation-2	3	1.0	21.172738678893822
24	96	24	False	True	0	1	8	0.07508	current-baseline[delta=0.2]	support_roughness_high	72	0	24	20260717	confirmation-1	3	1.0	21.172738678893822
17	854	913	True	True	7	NA	NA	1.5733940000000002	primal-hull-uniform-disk[points=n+4,origin=interior]	support_roughness_high	837	896	24	20260717	confirmation-1	3	1.0	14.997356564216457
24	24	24	True	True	0	NA	NA	0.03771100000000001	regular-mutation[steps=4,scale=0.03]	support_roughness_high	0	0	24	20260717	confirmation-1	3	0.9611696968185055	21.172738678893822
24	26	24	False	True	0	7	9	0.020046000000000005	repulsive-gap[alpha=16]	support_roughness_high	2	0	24	20260717	confirmation-1	3	0.9725943094612008	21.172738678893822
24	71	24	False	True	0	6	23	0.043561	repulsive-gap[alpha=1]	support_roughness_high	47	0	24	20260717	confirmation-1	3	0.9994920140011494	21.172738678893822
24	29	24	False	True	0	10	10	0.06114800000000001	repulsive-gap[alpha=4]	support_roughness_high	5	0	24	20260717	confirmation-1	3	1.0	21.172738678893822
24	24	24	True	True	0	NA	NA	0.018194000000000002	repulsive-gap[regular]	support_roughness_high	0	0	24	20260717	confirmation-1	3	1.0	21.172738678893822
24	73	24	False	True	0	5	12	0.07970200000000002	current-baseline[delta=0.2]	support_roughness_high	49	0	24	20260718	confirmation-2	3	0.9460382114864158	21.172738678893822
17	937	913	True	True	7	NA	NA	1.6511010000000002	primal-hull-uniform-disk[points=n+4,origin=interior]	support_roughness_high	920	896	24	20260718	confirmation-2	3	1.0	14.997356564216457
24	24	24	True	True	0	NA	NA	0.024629000000000005	regular-mutation[steps=4,scale=0.03]	support_roughness_high	0	0	24	20260718	confirmation-2	3	0.9944438237164588	21.172738678893822
24	24	24	False	True	0	9	9	0.019077	repulsive-gap[alpha=16]	support_roughness_high	0	0	24	20260718	confirmation-2	3	1.0	21.172738678893822
24	82	24	False	True	0	1	9	0.029831	repulsive-gap[alpha=1]	support_roughness_high	58	0	24	20260718	confirmation-2	3	0.9867297464389778	21.172738678893822
24	30	24	False	True	0	6	9	0.023443000000000002	repulsive-gap[alpha=4]	support_roughness_high	6	0	24	20260718	confirmation-2	3	0.9969688702804684	21.172738678893822
24	24	24	True	True	0	NA	NA	0.010971	repulsive-gap[regular]	support_roughness_high	0	0	24	20260718	confirmation-2	3	1.0	21.172738678893822
24	96	24	False	True	0	14	67	0.07508	current-baseline[delta=0.2]	central_symmetry_residual_low	72	0	24	20260717	confirmation-1	3	1.0	21.172738678893822
17	854	913	True	True	7	NA	NA	1.5733940000000002	primal-hull-uniform-disk[points=n+4,origin=interior]	central_symmetry_residual_low	837	896	24	20260717	confirmation-1	3	1.0	14.997356564216457
24	24	24	True	True	0	NA	NA	0.03771100000000001	regular-mutation[steps=4,scale=0.03]	central_symmetry_residual_low	0	0	24	20260717	confirmation-1	3	1.0	21.172738678893822
24	26	24	False	True	0	15	17	0.020046000000000005	repulsive-gap[alpha=16]	central_symmetry_residual_low	2	0	24	20260717	confirmation-1	3	1.0	21.172738678893822
24	71	24	False	True	0	3	9	0.043561	repulsive-gap[alpha=1]	central_symmetry_residual_low	47	0	24	20260717	confirmation-1	3	0.974499132236386	21.172738678893822
24	29	24	False	True	0	5	5	0.06114800000000001	repulsive-gap[alpha=4]	central_symmetry_residual_low	5	0	24	20260717	confirmation-1	3	1.0	21.172738678893822
