bucket	spearman_ridge_sys_within_lowest_1pct	mean_sys_q_le_0p5pct	mean_sys_q_0p5_to_1pct	delta_more_extreme_half	mean_sys_q_le_0p1pct	mean_sys_q_0p1_to_1pct	delta_most_extreme_tenth
3x3	-0.22415841584158416	0.4976111872068552	0.49443183600652846	0.003179351200326752	0.4985916568792545	0.49573593990974046	0.0028557169695140328
3x4	-0.31464746474647465	0.6532317772198603	0.6131238872107317	0.04010789000912851	0.7340968834064586	0.6219646043051669	0.11213227910129175
3x5	-0.11264326432643264	0.7045263788906796	0.6794232439587523	0.025103134931927285	0.6859284369384253	0.6926466308120817	-0.006718193873656353
3x6	-0.0016561656165616561	0.6962325735300978	0.7037225188785619	-0.007489945348464033	0.6839776779127036	0.7017553093478438	-0.017777631435140218
4x4	-0.01617761776177618	0.6384721130083938	0.6236623395698587	0.014809773438535068	0.6227699311817083	0.6319891479677283	-0.009219216786020001
4x5	0.19296729672967297	0.6226673048673347	0.6556520796261455	-0.032984774758810786	0.6087337253380808	0.6425403552365911	-0.033806629898510354
4x6	0.3014701470147015	0.6171841395342422	0.6618155038623089	-0.04463136432806669	0.6144178509141096	0.6422867073409607	-0.027868856426851107
5x5	0.21597359735973598	0.6186553950181441	0.6469844756510957	-0.028329080632951587	0.5967489455219559	0.6368278230915826	-0.04007887756962669
5x6	0.19342334233423342	0.6336373219230623	0.6620361508731126	-0.028398828950050303	0.5741697393240444	0.6560219582952035	-0.08185221897115913
6x6	0.08514851485148515	0.644561145611084	0.6534635202767999	-0.008902374665715862	0.6302073583355646	0.651101774567095	-0.02089441623153032
