source	seed	bucket	q_low	q_high	n	mean_sys	min_sys	max_sys	sys_gt_1
retained-full-target	42	3x3	0.0	0.01	11	0.49395133840327526	0.4772430412626695	0.5066285438372599	0
retained-full-target	42	3x3	0.01	0.05	41	0.5150449775063641	0.4490396035979759	0.6464199674959318	0
retained-full-target	42	3x3	0.05	0.2	153	0.44122904656667516	0.3409139947066173	0.6222189836447218	0
retained-full-target	42	3x3	0.2	1.0	819	0.13803280753595307	0.00019185378973742608	0.4036160625541447	0
retained-full-target	42	3x4	0.0	0.01	11	0.6070813621401032	0.5071360538642906	0.7119073397957835	0
retained-full-target	42	3x4	0.01	0.05	41	0.5534970635926042	0.41610995416164454	0.6949401945596988	0
retained-full-target	42	3x4	0.05	0.2	153	0.47105290804228916	0.2688744998139417	0.640115159223488	0
retained-full-target	42	3x4	0.2	1.0	819	0.17902693040988893	0.00023580152631749206	0.5049237072763878	0
retained-full-target	42	3x5	0.0	0.01	11	0.696440269765548	0.595700407822994	0.7624210652041858	0
retained-full-target	42	3x5	0.01	0.05	41	0.6073045761767096	0.4601521775607091	0.7650778325167292	0
retained-full-target	42	3x5	0.05	0.2	153	0.5141063338296104	0.32753159472945537	0.7163972208947439	0
retained-full-target	42	3x5	0.2	1.0	819	0.21020565438773547	1.3619216643341758e-05	0.5811430910629478	0
retained-full-target	42	3x6	0.0	0.01	11	0.6936044811515631	0.581978232203539	0.7899693224084291	0
retained-full-target	42	3x6	0.01	0.05	41	0.6367971881973388	0.49496578619322906	0.8073487367323776	0
retained-full-target	42	3x6	0.05	0.2	153	0.5423040852268108	0.3728118163094023	0.7061747762674966	0
retained-full-target	42	3x6	0.2	1.0	819	0.2217671154087485	2.9797217476647493e-05	0.6111158006389924	0
retained-full-target	42	4x4	0.0	0.01	11	0.6353846630491382	0.5288203755673409	0.7096487953247098	0
retained-full-target	42	4x4	0.01	0.05	41	0.6333735318773441	0.41138614868954376	0.8141002333029529	0
retained-full-target	42	4x4	0.05	0.2	153	0.5414161335688933	0.3419933500345983	0.7754897518671622	0
retained-full-target	42	4x4	0.2	1.0	819	0.24289295985331366	0.0006529850395571487	0.6373939617983122	0
retained-full-target	42	4x5	0.0	0.01	11	0.6596702989821062	0.5318436189754883	0.7620843039706073	0
retained-full-target	42	4x5	0.01	0.05	41	0.6454802688347154	0.40712696551443234	0.7988226871046541	0
retained-full-target	42	4x5	0.05	0.2	153	0.591903475677787	0.32423339385099154	0.8381244889295797	0
retained-full-target	42	4x5	0.2	1.0	819	0.2793090118900162	0.0010676457371832514	0.6838922387190022	0
retained-full-target	42	4x6	0.0	0.01	11	0.6337988266031646	0.5229230785384841	0.7458080181170299	0
retained-full-target	42	4x6	0.01	0.05	41	0.6550336106944417	0.4205585942397577	0.8292665551981732	0
retained-full-target	42	4x6	0.05	0.2	153	0.5922399943643203	0.3321366865178688	0.7880035845328316	0
retained-full-target	42	4x6	0.2	1.0	819	0.308990636598605	9.601533052329054e-05	0.7355377617577488	0
retained-full-target	42	5x5	0.0	0.01	11	0.6501217956397473	0.5077493136245751	0.7795121141447494	0
retained-full-target	42	5x5	0.01	0.05	41	0.6556436927731497	0.44926926163425324	0.7973980400416846	0
retained-full-target	42	5x5	0.05	0.2	153	0.6257755031389329	0.41027170707635063	0.8437955079134134	0
retained-full-target	42	5x5	0.2	1.0	819	0.34124824488868427	0.0014871974285491458	0.7201539553100694	0
