case	left_facets	right_facets	direct_sampled_linf	direct_sampled_l2	u2_finite_bank_linf	u2_finite_bank_l2	so4_finite_bank_linf	so4_finite_bank_l2	direction_refinement_l2	u2_search_refinement_l2	so4_search_refinement_l2
identity_permuted_presentation	8	8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
facet_birth_truncated_cube	8	9	0.23452696187269062	0.0772986804076943	0.23452696187269062	0.0772986804076943	0.23452696187269062	0.0772986804076943	0.00020105632497594006	0.0	0.0
adversarial_narrow_feature	8	9	0.17259241118047886	0.08055562649970577	0.17259241118047886	0.08055562649970577	0.17259241118047886	0.08055562649970577	2.8830991967515596e-05	0.0	0.0
ball_approximant_identity	16	16	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ball_vs_ellipsoid_approximant	16	16	0.3399147173654647	0.1200257344432219	0.3399147173654647	0.1200257344432219	0.3399147173654647	0.1200257344432219	0.0019664443860633596	0.0	0.0
retained_orientation_u2	6	6	0.8502820852953409	0.2777224125900507	1.1102230246251565e-16	2.1411214584335513e-17	1.1102230246251565e-16	2.1411214584335513e-17	0.003263506092833268	0.2777224125900507	0.2777224125900507
retained_orientation_so4	6	6	0.3159019342784533	0.12715096511619295	0.3159019342784533	0.12715096511619295	2.220446049250313e-16	2.988561546479478e-17	0.0019031254355549032	0.0	0.0
retained_exact_feature_witness	6	10	0.739299281972791	0.26506897680827424	0.6149547217420853	0.23906502257937584	0.6149547217420853	0.23906502257937584	0.00010613380981172593	0.0	0.0
