chord_witness_id	chosen_witness_id	disagree	frame_witness_id	mode	side_count	step
witness-baf2e664d3cca241f272	witness-ad36d68efb397d918d55	True	witness-ad36d68efb397d918d55	offline_greedy_frame	4	17
witness-baf2e664d3cca241f272	witness-8b1bbfc63a035eaca118	True	witness-8b1bbfc63a035eaca118	offline_greedy_frame	4	18
witness-baf2e664d3cca241f272	witness-a9e877a6cf4b02dfe7c0	True	witness-a9e877a6cf4b02dfe7c0	offline_greedy_frame	4	19
witness-baf2e664d3cca241f272	witness-72fe312a7aa02195cd4c	True	witness-72fe312a7aa02195cd4c	offline_greedy_frame	4	20
witness-990a08c1b826aa51e9d8	witness-f368732dcff3d0814e73	True	witness-f368732dcff3d0814e73	offline_greedy_frame	4	21
witness-990a08c1b826aa51e9d8	witness-c3b885710dc9f5ee9e30	True	witness-c3b885710dc9f5ee9e30	offline_greedy_frame	4	22
witness-990a08c1b826aa51e9d8	witness-5df3595760b483e9eaac	True	witness-5df3595760b483e9eaac	offline_greedy_frame	4	23
witness-990a08c1b826aa51e9d8	witness-66d556c1dbb21179815e	True	witness-66d556c1dbb21179815e	offline_greedy_frame	4	24
witness-a9e877a6cf4b02dfe7c0	witness-a9e877a6cf4b02dfe7c0	True	witness-6090705a3df52b35bb45	offline_greedy_chord	4	1
witness-fd25262ed615262e0333	witness-fd25262ed615262e0333	True	witness-6090705a3df52b35bb45	offline_greedy_chord	4	2
witness-f368732dcff3d0814e73	witness-f368732dcff3d0814e73	True	witness-6090705a3df52b35bb45	offline_greedy_chord	4	3
witness-d0c268788c289f2f1dbf	witness-d0c268788c289f2f1dbf	True	witness-6090705a3df52b35bb45	offline_greedy_chord	4	4
witness-66d556c1dbb21179815e	witness-66d556c1dbb21179815e	True	witness-6090705a3df52b35bb45	offline_greedy_chord	4	5
witness-e470f10d59ff4482a0dd	witness-e470f10d59ff4482a0dd	True	witness-6090705a3df52b35bb45	offline_greedy_chord	4	6
witness-fee16cea79e64e3cc3d7	witness-fee16cea79e64e3cc3d7	True	witness-6090705a3df52b35bb45	offline_greedy_chord	4	7
witness-6090705a3df52b35bb45	witness-6090705a3df52b35bb45	False	witness-6090705a3df52b35bb45	offline_greedy_chord	4	8
witness-baf2e664d3cca241f272	witness-baf2e664d3cca241f272	True	witness-b5fb2d2a4def5142073c	offline_greedy_chord	4	9
witness-d978842b6daae0c9591c	witness-d978842b6daae0c9591c	True	witness-b5fb2d2a4def5142073c	offline_greedy_chord	4	10
witness-e17b44ed7f61ffa14b7b	witness-e17b44ed7f61ffa14b7b	True	witness-b5fb2d2a4def5142073c	offline_greedy_chord	4	11
witness-990a08c1b826aa51e9d8	witness-990a08c1b826aa51e9d8	True	witness-b5fb2d2a4def5142073c	offline_greedy_chord	4	12
witness-bc805672819dfb6fae25	witness-bc805672819dfb6fae25	True	witness-b5fb2d2a4def5142073c	offline_greedy_chord	4	13
witness-eeaef8a29c2d6b977eec	witness-eeaef8a29c2d6b977eec	True	witness-b5fb2d2a4def5142073c	offline_greedy_chord	4	14
witness-72fe312a7aa02195cd4c	witness-72fe312a7aa02195cd4c	True	witness-b5fb2d2a4def5142073c	offline_greedy_chord	4	15
witness-5df3595760b483e9eaac	witness-5df3595760b483e9eaac	True	witness-b5fb2d2a4def5142073c	offline_greedy_chord	4	16
witness-86491c4bb4bfcca5d38c	witness-86491c4bb4bfcca5d38c	True	witness-b5fb2d2a4def5142073c	offline_greedy_chord	4	17
witness-42e25482d62626f1e761	witness-42e25482d62626f1e761	True	witness-b5fb2d2a4def5142073c	offline_greedy_chord	4	18
witness-ea703517babb4bab051b	witness-ea703517babb4bab051b	True	witness-b5fb2d2a4def5142073c	offline_greedy_chord	4	19
witness-dab7ca1b872854b77cec	witness-dab7ca1b872854b77cec	True	witness-b5fb2d2a4def5142073c	offline_greedy_chord	4	20
witness-ad36d68efb397d918d55	witness-ad36d68efb397d918d55	True	witness-b5fb2d2a4def5142073c	offline_greedy_chord	4	21
witness-80fb74db34a9f4c9d165	witness-80fb74db34a9f4c9d165	True	witness-b5fb2d2a4def5142073c	offline_greedy_chord	4	22
