attempt	budget	holdout_incremental_reduction	holdout_radius_after	holdout_radius_before	policy	population	seed	step	train_incremental_reduction	train_radius_after	train_radius_before	view	witness_id
3	14	0.0	0.5769991883850483	0.5769991883850483	passive_random	primal-hull-uniform-disk[points=n+4,origin=interior]	20260716	14	0.0	1.14166846693795	1.14166846693795	chord_invariant	witness-2cdda27236dc784ef761
0	15	0.0	4.2720891376667165	4.2720891376667165	passive_random	zonogon[lengths=uniform(0.5,1.5)]	20260716	15	0.0	7.945630400557357	7.945630400557357	frame_geometry	witness-2e523c40ff3116f40f87
0	15	0.0	0.5769991883850483	0.5769991883850483	passive_random	zonogon[lengths=uniform(0.5,1.5)]	20260716	15	0.0	1.14166846693795	1.14166846693795	chord_invariant	witness-2e523c40ff3116f40f87
0	16	0.05771627568856896	4.2143728619781475	4.2720891376667165	passive_random	zonogon[lengths=uniform(0.5,1.5)]	20260716	16	0.0	7.945630400557357	7.945630400557357	frame_geometry	witness-3b8f084a269d22495511
0	16	0.030382288744555397	0.5466168996404929	0.5769991883850483	passive_random	zonogon[lengths=uniform(0.5,1.5)]	20260716	16	0.0	1.14166846693795	1.14166846693795	chord_invariant	witness-3b8f084a269d22495511
0	17	0.0	4.2143728619781475	4.2143728619781475	passive_random	repulsive-gap[regular]	20260716	17	0.0	7.945630400557357	7.945630400557357	frame_geometry	witness-3c026187127e38d650b5
0	17	0.0	0.5466168996404929	0.5466168996404929	passive_random	repulsive-gap[regular]	20260716	17	0.0	1.14166846693795	1.14166846693795	chord_invariant	witness-3c026187127e38d650b5
0	18	0.0	4.2143728619781475	4.2143728619781475	passive_random	regular-mutation[steps=4,scale=0.03]	20260716	18	0.0	7.945630400557357	7.945630400557357	frame_geometry	witness-3d3fd75fe9d0e014ef6b
0	18	0.0	0.5466168996404929	0.5466168996404929	passive_random	regular-mutation[steps=4,scale=0.03]	20260716	18	0.0	1.14166846693795	1.14166846693795	chord_invariant	witness-3d3fd75fe9d0e014ef6b
0	19	0.0	4.2143728619781475	4.2143728619781475	passive_random	repulsive-gap[alpha=16]	20260716	19	0.0	7.945630400557357	7.945630400557357	frame_geometry	witness-3f222a0b22033d929090
0	19	0.0	0.5466168996404929	0.5466168996404929	passive_random	repulsive-gap[alpha=16]	20260716	19	0.0	1.14166846693795	1.14166846693795	chord_invariant	witness-3f222a0b22033d929090
0	20	0.0	4.2143728619781475	4.2143728619781475	passive_random	regular-mutation[steps=4,scale=0.03]	20260716	20	0.0	7.945630400557357	7.945630400557357	frame_geometry	witness-4389d9a95288cdd43a5a
0	20	0.0	0.5466168996404929	0.5466168996404929	passive_random	regular-mutation[steps=4,scale=0.03]	20260716	20	0.0	1.14166846693795	1.14166846693795	chord_invariant	witness-4389d9a95288cdd43a5a
0	21	0.0	4.2143728619781475	4.2143728619781475	passive_random	repulsive-gap[regular]	20260716	21	0.0	7.945630400557357	7.945630400557357	frame_geometry	witness-47079314f8dbb7923f03
0	21	0.0	0.5466168996404929	0.5466168996404929	passive_random	repulsive-gap[regular]	20260716	21	0.0	1.14166846693795	1.14166846693795	chord_invariant	witness-47079314f8dbb7923f03
0	22	0.5150592633246247	3.699313598653523	4.2143728619781475	passive_random	zonogon[lengths=uniform(0.5,1.5)]	20260716	22	0.0	7.945630400557357	7.945630400557357	frame_geometry	witness-47633003daae1c2229f7
0	22	0.0	0.5466168996404929	0.5466168996404929	passive_random	zonogon[lengths=uniform(0.5,1.5)]	20260716	22	0.0	1.14166846693795	1.14166846693795	chord_invariant	witness-47633003daae1c2229f7
0	23	0.0	3.699313598653523	3.699313598653523	passive_random	repulsive-gap[alpha=1]	20260716	23	0.0	7.945630400557357	7.945630400557357	frame_geometry	witness-47cc0e13632029a6d32d
0	23	0.0	0.5466168996404929	0.5466168996404929	passive_random	repulsive-gap[alpha=1]	20260716	23	0.0	1.14166846693795	1.14166846693795	chord_invariant	witness-47cc0e13632029a6d32d
2	24	0.0	3.699313598653523	3.699313598653523	passive_random	primal-hull-uniform-disk[points=n+4,origin=interior]	20260716	24	0.0	7.945630400557357	7.945630400557357	frame_geometry	witness-480a2eea018b5481b2d7
2	24	0.0	0.5466168996404929	0.5466168996404929	passive_random	primal-hull-uniform-disk[points=n+4,origin=interior]	20260716	24	0.0	1.14166846693795	1.14166846693795	chord_invariant	witness-480a2eea018b5481b2d7
0	1	0.0	4.316716849968006	4.316716849968006	adaptive_max	current-baseline[delta=0.2]	20260716	1	5.408235295507085	2.537395105050271	7.945630400557357	frame_geometry	witness-8171cd3bc8bcc0698332
0	1	0.2947445162324215	0.7355983440715382	1.0303428603039597	adaptive_max	current-baseline[delta=0.2]	20260716	1	0.7692441237674656	0.8558704539155237	1.6251145776829894	chord_invariant	witness-8171cd3bc8bcc0698332
0	2	0.0	4.316716849968006	4.316716849968006	adaptive_max	repulsive-gap[alpha=1]	20260716	2	0.0	2.537395105050271	2.537395105050271	frame_geometry	witness-bc1189ab7d849e4a940e
0	2	0.0	0.7355983440715382	0.7355983440715382	adaptive_max	repulsive-gap[alpha=1]	20260716	2	0.19097837138644158	0.6648920825290822	0.8558704539155237	chord_invariant	witness-bc1189ab7d849e4a940e
0	3	0.0	4.316716849968006	4.316716849968006	adaptive_max	zonogon[lengths=uniform(0.5,1.5)]	20260716	3	0.0	2.537395105050271	2.537395105050271	frame_geometry	witness-b8aa9f6601d949890333
0	3	0.10863812623802427	0.626960217833514	0.7355983440715382	adaptive_max	zonogon[lengths=uniform(0.5,1.5)]	20260716	3	0.0947677110102656	0.5701243715188166	0.6648920825290822	chord_invariant	witness-b8aa9f6601d949890333
0	4	0.0	4.316716849968006	4.316716849968006	adaptive_max	repulsive-gap[alpha=1]	20260716	4	0.40771606150214046	2.1296790435481308	2.537395105050271	frame_geometry	witness-b52d0b7e08c046ac8a39
0	4	0.0	0.626960217833514	0.626960217833514	adaptive_max	repulsive-gap[alpha=1]	20260716	4	0.03728811560571965	0.5328362559130969	0.5701243715188166	chord_invariant	witness-b52d0b7e08c046ac8a39
0	5	0.0	4.316716849968006	4.316716849968006	adaptive_max	repulsive-gap[alpha=4]	20260716	5	0.44453795966681997	1.6851410838813108	2.1296790435481308	frame_geometry	witness-e38b1197d8a438306e1c
0	5	0.0	0.626960217833514	0.626960217833514	adaptive_max	repulsive-gap[alpha=4]	20260716	5	0.011657169081729757	0.5211790868313672	0.5328362559130969	chord_invariant	witness-e38b1197d8a438306e1c
3	6	0.3975355434871819	3.919181306480824	4.316716849968006	adaptive_max	current-baseline[delta=0.2]	20260716	6	0.14161341096573232	1.5435276729155785	1.6851410838813108	frame_geometry	witness-e540d920dcd590b35122
3	6	0.0	0.626960217833514	0.626960217833514	adaptive_max	current-baseline[delta=0.2]	20260716	6	0.0	0.5211790868313672	0.5211790868313672	chord_invariant	witness-e540d920dcd590b35122
0	7	0.0	3.919181306480824	3.919181306480824	adaptive_max	primal-hull-uniform-disk[points=n+4,origin=interior]	20260716	7	0.16180467197102444	1.381723000944554	1.5435276729155785	frame_geometry	witness-ca83c38f19865894ba98
0	7	0.0	0.626960217833514	0.626960217833514	adaptive_max	primal-hull-uniform-disk[points=n+4,origin=interior]	20260716	7	0.0	0.5211790868313672	0.5211790868313672	chord_invariant	witness-ca83c38f19865894ba98
3	8	0.0	3.919181306480824	3.919181306480824	adaptive_max	current-baseline[delta=0.2]	20260716	8	0.0	1.381723000944554	1.381723000944554	frame_geometry	witness-af3dbff44adfdbdabc83
3	8	3.56737042943589e-05	0.6269245441292196	0.626960217833514	adaptive_max	current-baseline[delta=0.2]	20260716	8	0.006401065280122187	0.514778021551245	0.5211790868313672	chord_invariant	witness-af3dbff44adfdbdabc83
0	9	0.0	3.919181306480824	3.919181306480824	adaptive_max	zonogon[lengths=uniform(0.5,1.5)]	20260716	9	0.0	1.381723000944554	1.381723000944554	frame_geometry	witness-9969c6a2b624b790a4d0
0	9	0.0753504268553733	0.5515741172738463	0.6269245441292196	adaptive_max	zonogon[lengths=uniform(0.5,1.5)]	20260716	9	0.04907758782360161	0.46570043372764336	0.514778021551245	chord_invariant	witness-9969c6a2b624b790a4d0
0	10	0.0	3.919181306480824	3.919181306480824	adaptive_max	zonogon[lengths=uniform(0.5,1.5)]	20260716	10	0.09220158013645818	1.2895214208080958	1.381723000944554	frame_geometry	witness-a3cea945262062a9cb24
0	10	0.0	0.5515741172738463	0.5515741172738463	adaptive_max	zonogon[lengths=uniform(0.5,1.5)]	20260716	10	0.0	0.46570043372764336	0.46570043372764336	chord_invariant	witness-a3cea945262062a9cb24
0	11	0.0	3.919181306480824	3.919181306480824	adaptive_max	repulsive-gap[alpha=16]	20260716	11	0.0829196480878589	1.206601772720237	1.2895214208080958	frame_geometry	witness-fab61b36aa3c185f17e7
0	11	0.0	0.5515741172738463	0.5515741172738463	adaptive_max	repulsive-gap[alpha=16]	20260716	11	0.0	0.46570043372764336	0.46570043372764336	chord_invariant	witness-fab61b36aa3c185f17e7
0	12	0.0	3.919181306480824	3.919181306480824	adaptive_max	repulsive-gap[alpha=1]	20260716	12	0.05612647984688168	1.1504752928733553	1.206601772720237	frame_geometry	witness-507ef466388873ca99c4
0	12	0.0	0.5515741172738463	0.5515741172738463	adaptive_max	repulsive-gap[alpha=1]	20260716	12	0.008030365677301587	0.45767006805034177	0.46570043372764336	chord_invariant	witness-507ef466388873ca99c4
1	13	0.0	3.919181306480824	3.919181306480824	adaptive_max	current-baseline[delta=0.2]	20260716	13	0.0	1.1504752928733553	1.1504752928733553	frame_geometry	witness-c704055c9c45a9ca01e2
1	13	0.0	0.5515741172738463	0.5515741172738463	adaptive_max	current-baseline[delta=0.2]	20260716	13	0.014244335675845654	0.4434257323744961	0.45767006805034177	chord_invariant	witness-c704055c9c45a9ca01e2
0	14	0.0	3.919181306480824	3.919181306480824	adaptive_max	repulsive-gap[alpha=4]	20260716	14	0.0	1.1504752928733553	1.1504752928733553	frame_geometry	witness-a7096d1d633d01f8bfb9
0	14	0.025347765424466595	0.5262263518493797	0.5515741172738463	adaptive_max	repulsive-gap[alpha=4]	20260716	14	0.01615690528230823	0.4272688270921879	0.4434257323744961	chord_invariant	witness-a7096d1d633d01f8bfb9
2	15	0.0	3.919181306480824	3.919181306480824	adaptive_max	current-baseline[delta=0.2]	20260716	15	0.0	1.1504752928733553	1.1504752928733553	frame_geometry	witness-ff15580e961722cbc4d9
2	15	0.0	0.5262263518493797	0.5262263518493797	adaptive_max	current-baseline[delta=0.2]	20260716	15	0.011821012829521416	0.41544781426266647	0.4272688270921879	chord_invariant	witness-ff15580e961722cbc4d9
4	16	0.0	3.919181306480824	3.919181306480824	adaptive_max	primal-hull-uniform-disk[points=n+4,origin=interior]	20260716	16	0.0	1.1504752928733553	1.1504752928733553	frame_geometry	witness-c815c25c56b3c6d56305
4	16	0.0	0.5262263518493797	0.5262263518493797	adaptive_max	primal-hull-uniform-disk[points=n+4,origin=interior]	20260716	16	0.008389960205462399	0.40705785405720407	0.41544781426266647	chord_invariant	witness-c815c25c56b3c6d56305
5	17	0.7405727325195239	3.1786085739613	3.919181306480824	adaptive_max	current-baseline[delta=0.2]	20260716	17	0.03613742076433124	1.114337872109024	1.1504752928733553	frame_geometry	witness-a02f933a32a6a3cef0b9
5	17	0.0	0.5262263518493797	0.5262263518493797	adaptive_max	current-baseline[delta=0.2]	20260716	17	0.0	0.40705785405720407	0.40705785405720407	chord_invariant	witness-a02f933a32a6a3cef0b9
0	18	0.0	3.1786085739613	3.1786085739613	adaptive_max	repulsive-gap[alpha=1]	20260716	18	0.1319970446231442	0.9823408274858798	1.114337872109024	frame_geometry	witness-253d7d90e39575f15aa4
0	18	0.0	0.5262263518493797	0.5262263518493797	adaptive_max	repulsive-gap[alpha=1]	20260716	18	0.006705198747563257	0.4003526553096408	0.40705785405720407	chord_invariant	witness-253d7d90e39575f15aa4
0	19	0.0	3.1786085739613	3.1786085739613	adaptive_max	repulsive-gap[alpha=1]	20260716	19	0.0	0.9823408274858798	0.9823408274858798	frame_geometry	witness-a83fcec618e6b1b2b658
0	19	0.0	0.5262263518493797	0.5262263518493797	adaptive_max	repulsive-gap[alpha=1]	20260716	19	0.016462074746096733	0.3838905805635441	0.4003526553096408	chord_invariant	witness-a83fcec618e6b1b2b658
0	20	0.0	3.1786085739613	3.1786085739613	adaptive_max	zonogon[lengths=uniform(0.5,1.5)]	20260716	20	0.0	0.9823408274858798	0.9823408274858798	frame_geometry	witness-fa6d250544de63aee6d7
0	20	0.0	0.5262263518493797	0.5262263518493797	adaptive_max	zonogon[lengths=uniform(0.5,1.5)]	20260716	20	0.021387057740738735	0.36250352282280535	0.3838905805635441	chord_invariant	witness-fa6d250544de63aee6d7
1	21	0.0	3.1786085739613	3.1786085739613	adaptive_max	repulsive-gap[alpha=1]	20260716	21	0.0	0.9823408274858798	0.9823408274858798	frame_geometry	witness-9f945b258e6fa8bb6672
