attempt	budget	holdout_cover_max_after	holdout_cover_max_before	holdout_cover_max_incremental_reduction	holdout_cover_mean_after	holdout_cover_mean_before	holdout_cover_mean_incremental_reduction	holdout_cover_q90_after	holdout_cover_q90_before	holdout_cover_q90_incremental_reduction	policy	population	seed	step	train_cover_max_after	train_cover_max_before	train_cover_max_incremental_reduction	train_cover_mean_after	train_cover_mean_before	train_cover_mean_incremental_reduction	train_cover_q90_after	train_cover_q90_before	train_cover_q90_incremental_reduction	view	witness_id
0	1	4.316716849968006	4.316716849968006	0.0	1.025984996094925	1.0593656064856514	0.03338061039072637	1.5548707520570422	1.5548707520570422	0.0	passive_coreset	primal-hull-uniform-disk[points=n+4,origin=interior]	20260716	1	7.945630400557357	7.945630400557357	0.0	1.0812444593675195	1.1265041577367876	0.04525969836926813	1.4205675787148841	1.4205675787148841	0.0	frame_geometry	witness-03e09a8622a42ee1bb9d
0	1	1.0303428603039597	1.0303428603039597	0.0	0.4128735057006767	0.41442097028182656	0.0015474645811498489	0.5544133604894482	0.555989937748614	0.0015765772591658234	passive_coreset	primal-hull-uniform-disk[points=n+4,origin=interior]	20260716	1	1.6251145776829894	1.6251145776829894	0.0	0.4149530467741369	0.41980905014014774	0.00485600336601083	0.5328362559130966	0.5328362559130966	0.0	chord_invariant	witness-03e09a8622a42ee1bb9d
0	2	4.316716849968006	4.316716849968006	0.0	0.9869518717453584	1.025984996094925	0.03903312434956663	1.3817741137142487	1.5548707520570422	0.17309663834279343	passive_coreset	zonogon[lengths=uniform(0.5,1.5)]	20260716	2	7.945630400557357	7.945630400557357	0.0	1.028183183174004	1.0812444593675195	0.053061276193515416	1.2679833459146657	1.4205675787148841	0.1525842328002185	frame_geometry	witness-043d3e8236185769402a
0	2	1.0303428603039597	1.0303428603039597	0.0	0.40013033560196654	0.4128735057006767	0.012743170098710177	0.5328362559130966	0.5544133604894482	0.021577104576351647	passive_coreset	zonogon[lengths=uniform(0.5,1.5)]	20260716	2	1.6251145776829894	1.6251145776829894	0.0	0.40471803846792775	0.4149530467741369	0.010235008306209159	0.5328362559130965	0.5328362559130966	1.1102230246251565e-16	chord_invariant	witness-043d3e8236185769402a
0	3	4.316716849968006	4.316716849968006	0.0	0.9052171077628824	0.9869518717453584	0.08173476398247592	1.2768259542922218	1.3817741137142487	0.10494815942202695	passive_coreset	repulsive-gap[alpha=1]	20260716	3	7.945630400557357	7.945630400557357	0.0	0.9306916574217183	1.028183183174004	0.0974915257522857	1.1050738183810707	1.2679833459146657	0.162909527533595	frame_geometry	witness-051c29e446bf29688441
0	3	1.0303428603039597	1.0303428603039597	0.0	0.3985390864742713	0.40013033560196654	0.00159124912769526	0.5328362559130966	0.5328362559130966	0.0	passive_coreset	repulsive-gap[alpha=1]	20260716	3	1.6251145776829894	1.6251145776829894	0.0	0.39727208044298834	0.40471803846792775	0.007445958024939414	0.5328362559130965	0.5328362559130965	0.0	chord_invariant	witness-051c29e446bf29688441
0	4	4.316716849968006	4.316716849968006	0.0	0.785657249124429	0.9052171077628824	0.11955985863845342	1.1882632402329611	1.2768259542922218	0.08856271405926064	passive_coreset	repulsive-gap[alpha=4]	20260716	4	7.945630400557357	7.945630400557357	0.0	0.7833382515367695	0.9306916574217183	0.14735340588494883	1.0520623247540046	1.1050738183810707	0.05301149362706603	frame_geometry	witness-0d5589867d0c1ad92f1a
0	4	1.0303428603039597	1.0303428603039597	0.0	0.31884329842409675	0.3985390864742713	0.07969578805017452	0.46470513211344616	0.5328362559130966	0.06813112379965042	passive_coreset	repulsive-gap[alpha=4]	20260716	4	1.6251145776829894	1.6251145776829894	0.0	0.32174258896456304	0.39727208044298834	0.0755294914784253	0.4315064213325403	0.5328362559130965	0.10132983458055617	chord_invariant	witness-0d5589867d0c1ad92f1a
0	5	4.2720891376667165	4.316716849968006	0.04462771230128926	0.7792191099381623	0.785657249124429	0.006438139186266678	1.0792427745894615	1.1882632402329611	0.10902046564349965	passive_coreset	zonogon[lengths=uniform(0.5,1.5)]	20260716	5	7.945630400557357	7.945630400557357	0.0	0.7595996749268612	0.7833382515367695	0.023738576609908302	1.0520623247540046	1.0520623247540046	0.0	frame_geometry	witness-0e727e3aa025b08dbbe8
0	5	1.0303428603039597	1.0303428603039597	0.0	0.31724140584347665	0.31884329842409675	0.0016018925806201012	0.46470513211344616	0.46470513211344616	0.0	passive_coreset	zonogon[lengths=uniform(0.5,1.5)]	20260716	5	1.6251145776829894	1.6251145776829894	0.0	0.31234882179563866	0.32174258896456304	0.009393767168924372	0.40604633704818205	0.4315064213325403	0.025460084284358253	chord_invariant	witness-0e727e3aa025b08dbbe8
