candidate_id	bucket	label	delta_rad	edge_formula_r	nominal_empirical_q	min_support_height	max_support_height
ridge-endpoint-3x6-q01	3x6	q01	0.47766840915516129	11.301776905190875	0.01	0.99999999999999944	1.0000000000000002
ridge-endpoint-3x6-q001	3x6	q001	0.27121627346739696	10.955292837190573	0.001	0.99999999999999944	1.0000000000000002
ridge-endpoint-3x6-q0001	3x6	q0001	0.20002703912169045	10.726592837214973	0.0001	0.99999999999999944	1.0000000000000002
ridge-endpoint-3x6-endpoint	3x6	endpoint	0	9.7979589711327133	0	0.99999999999999944	1.0000000000000002
ridge-endpoint-4x4-q01	4x4	q01	0.52096696556189559	10.920458917858735	0.01	0.99999999999999989	1.0000000000000002
ridge-endpoint-4x4-q001	4x4	q001	0.29872088266348029	10.000093522258798	0.001	1	1.0000000000000002
ridge-endpoint-4x4-q0001	4x4	q0001	0.18501125732965379	9.3351342285997596	0.0001	0.99999999999999978	1.0000000000000002
ridge-endpoint-4x4-endpoint	4x4	endpoint	0	8	0	1	1.0000000000000002
